Shipment_ID,PO_ID,Vendor_ID,Hospital_ID,Planned_Delivery_Date,Actual_Delivery_Date,Ordered_Quantity,Received_Quantity,Damaged_Quantity,Delivery_Variance_Days,Delivery_Status,Transport_Mode,Receiving_Status
SHP000029,PO000029,V002,H005,2025-04-14,2025-04-16,306,300,6,2,Delayed,Road,Received
SHP000030,PO000030,V011,H004,2025-05-29,2025-05-31,480,472,8,2,Delayed,Road,Received
SHP000031,PO000031,V009,H003,2023-08-01,2023-08-04,440,438,2,3,Delayed,Road,Closed
SHP000032,PO000032,V010,H003,2025-04-26,2025-04-24,356,351,5,-2,Early,Road,Received
SHP000033,PO000033,V002,H001,2025-02-25,2025-02-28,499,495,4,3,Delayed,Road,Received
SHP000034,PO000034,V008,H005,2025-06-07,2025-06-06,93,92,1,-1,Early,Air,Closed
SHP000035,PO000035,V012,H003,2024-10-20,2024-10-20,115,113,2,0,Delivered,Road,Closed
SHP000036,PO000036,V002,H002,2025-11-16,2025-11-16,185,182,3,0,Delivered,Air,Closed
SHP000037,PO000037,V002,H005,2023-09-13,2023-09-14,415,411,4,1,Delayed,Road,Closed
SHP000038,PO000038,V004,H002,2024-02-29,2024-03-03,274,270,4,3,Delayed,Road,Received
SHP000039,PO000039,V007,H005,2024-11-03,2024-11-04,82,81,1,1,Delayed,Road,Closed
SHP000040,PO000040,V007,H005,2024-04-06,2024-04-07,351,348,3,1,Delayed,Road,Closed
SHP000041,PO000041,V007,H002,2024-08-31,2024-08-29,167,167,0,-2,Early,Air,Quality Inspection
SHP000042,PO000042,V007,H005,2023-08-26,2023-08-25,313,312,1,-1,Early,Road,Quality Inspection
SHP000043,PO000043,V008,H004,2024-08-22,2024-08-23,326,325,1,1,Delayed,Road,Closed
SHP000044,PO000044,V010,H003,2024-06-12,2024-06-17,174,171,3,5,Delayed,Air,Received
SHP000045,PO000045,V009,H002,2023-01-20,2023-01-19,99,98,1,-1,Early,Road,Quality Inspection
SHP000046,PO000046,V001,H002,2025-06-01,2025-06-06,492,492,0,5,Delayed,Road,Closed
SHP000047,PO000047,V010,H004,2025-02-09,2025-02-08,81,80,1,-1,Early,Road,Received
SHP000048,PO000048,V006,H002,2025-01-20,2025-01-21,148,148,0,1,Delayed,Road,Received
SHP000049,PO000049,V012,H002,2024-05-15,2024-05-19,143,142,1,4,Delayed,Road,Received
SHP000050,PO000050,V002,H001,2024-06-02,2024-06-07,463,455,8,5,Delayed,Road,Closed
SHP000051,PO000051,V006,H004,2024-04-18,2024-04-16,97,97,0,-2,Early,Road,Quality Inspection
SHP000052,PO000052,V001,H001,2023-02-25,2023-03-02,159,156,3,5,Delayed,Air,Received
SHP000053,PO000053,V006,H005,2025-01-07,2025-01-11,51,50,1,4,Delayed,Road,Quality Inspection
SHP000054,PO000054,V005,H005,2024-07-18,2024-07-20,266,261,5,2,Delayed,Air,Closed
SHP000055,PO000055,V012,H003,2025-11-29,2025-12-04,129,129,0,5,Delayed,Road,Received
SHP000056,PO000056,V005,H003,2023-01-25,2023-01-23,432,427,5,-2,Early,Road,Closed
SHP000057,PO000057,V007,H002,2023-10-08,2023-10-13,307,301,6,5,Delayed,Road,Received
SHP000058,PO000058,V004,H004,2023-09-24,2023-09-23,485,483,2,-1,Early,Road,Received
SHP000059,PO000059,V012,H002,2025-04-27,2025-04-28,256,256,0,1,Delayed,Air,Closed
SHP000060,PO000060,V001,H002,2025-06-30,2025-07-01,346,342,4,1,Delayed,Road,Received
SHP000061,PO000061,V012,H001,2024-08-20,2024-08-24,386,381,5,4,Delayed,Air,Received
SHP000062,PO000062,V011,H002,2023-11-13,2023-11-16,172,170,2,3,Delayed,Road,Closed
SHP000063,PO000063,V011,H002,2025-05-13,2025-05-15,284,282,2,2,Delayed,Air,Received
SHP000064,PO000064,V004,H001,2023-08-13,2023-08-11,284,280,4,-2,Early,Air,Received
SHP000065,PO000065,V011,H003,2024-06-09,2024-06-08,325,324,1,-1,Early,Road,Received
SHP000066,PO000066,V009,H003,2025-11-11,2025-11-14,85,85,0,3,Delayed,Road,Received
SHP000067,PO000067,V011,H005,2024-06-29,2024-07-04,476,468,8,5,Delayed,Road,Closed
SHP000068,PO000068,V010,H005,2025-07-03,2025-07-01,391,387,4,-2,Early,Air,Received
SHP000069,PO000069,V007,H003,2023-11-05,2023-11-05,185,185,0,0,Delivered,Air,Closed
SHP000070,PO000070,V006,H002,2025-05-17,2025-05-17,189,187,2,0,Delivered,Road,Closed
SHP000071,PO000071,V004,H001,2025-05-16,2025-05-19,154,152,2,3,Delayed,Road,Quality Inspection
SHP000072,PO000072,V003,H005,2024-09-08,2024-09-06,97,96,1,-2,Early,Air,Received
SHP000073,PO000073,V003,H005,2024-03-30,2024-03-28,220,219,1,-2,Early,Road,Quality Inspection
SHP000074,PO000074,V012,H003,2023-12-21,2023-12-21,429,422,7,0,Delivered,Road,Quality Inspection
SHP000075,PO000075,V006,H005,2023-07-09,2023-07-07,107,107,0,-2,Early,Air,Closed
SHP000076,PO000076,V001,H001,2024-11-08,2024-11-08,329,329,0,0,Delivered,Air,Closed
SHP000077,PO000077,V007,H003,2025-06-07,2025-06-07,270,269,1,0,Delivered,Road,Quality Inspection
SHP000078,PO000078,V009,H004,2024-04-16,2024-04-14,233,232,1,-2,Early,Road,Closed
SHP000079,PO000079,V011,H002,2023-11-24,2023-11-23,231,227,4,-1,Early,Air,Quality Inspection
SHP000080,PO000080,V007,H002,2024-07-03,2024-07-03,171,170,1,0,Delivered,Air,Received
SHP000081,PO000081,V002,H004,2024-10-09,2024-10-13,62,62,0,4,Delayed,Road,Quality Inspection
SHP000082,PO000082,V001,H002,2024-02-18,2024-02-22,460,457,3,4,Delayed,Road,Closed
SHP000083,PO000083,V011,H005,2023-04-10,2023-04-09,245,245,0,-1,Early,Air,Received
SHP000084,PO000084,V010,H003,2025-05-24,2025-05-25,468,461,7,1,Delayed,Road,Received
SHP000085,PO000085,V005,H002,2025-07-01,2025-07-02,62,62,0,1,Delayed,Road,Quality Inspection
SHP000086,PO000086,V008,H004,2025-07-03,2025-07-02,445,441,4,-1,Early,Road,Closed
SHP000087,PO000087,V012,H003,2025-07-28,2025-08-01,397,392,5,4,Delayed,Air,Received
SHP000088,PO000088,V009,H003,2023-03-12,2023-03-14,141,139,2,2,Delayed,Air,Quality Inspection
SHP000089,PO000089,V007,H005,2024-12-23,2024-12-21,105,103,2,-2,Early,Road,Closed
SHP000090,PO000090,V008,H004,2024-05-31,2024-06-03,273,269,4,3,Delayed,Air,Received
SHP000091,PO000091,V006,H003,2025-07-24,2025-07-28,345,344,1,4,Delayed,Road,Closed
SHP000092,PO000092,V011,H001,2025-02-09,2025-02-13,50,50,0,4,Delayed,Road,Received
SHP000093,PO000093,V003,H002,2025-07-23,2025-07-26,369,364,5,3,Delayed,Road,Received
SHP000094,PO000094,V005,H001,2023-09-23,2023-09-25,309,307,2,2,Delayed,Road,Quality Inspection
SHP000095,PO000095,V007,H005,2023-08-19,2023-08-23,406,402,4,4,Delayed,Road,Received
SHP000096,PO000096,V005,H005,2026-01-19,2026-01-23,390,384,6,4,Delayed,Road,Received
SHP000097,PO000097,V003,H001,2025-10-07,2025-10-09,257,253,4,2,Delayed,Air,Quality Inspection
SHP000098,PO000098,V006,H004,2024-12-16,2024-12-18,157,154,3,2,Delayed,Road,Closed
SHP000099,PO000099,V002,H005,2023-05-24,2023-05-27,288,285,3,3,Delayed,Road,Received
SHP000100,PO000100,V002,H004,2023-11-12,2023-11-17,456,454,2,5,Delayed,Road,Quality Inspection
SHP000101,PO000101,V006,H004,2025-12-24,2025-12-27,97,97,0,3,Delayed,Road,Received
SHP000102,PO000102,V008,H001,2023-05-26,2023-05-27,125,125,0,1,Delayed,Road,Quality Inspection
SHP000103,PO000103,V003,H005,2024-05-11,2024-05-10,283,280,3,-1,Early,Air,Closed
SHP000104,PO000104,V007,H003,2024-09-13,2024-09-14,417,411,6,1,Delayed,Road,Received
SHP000105,PO000105,V005,H004,2024-05-14,2024-05-14,385,385,0,0,Delivered,Air,Received
SHP000106,PO000106,V004,H004,2024-07-04,2024-07-08,162,161,1,4,Delayed,Air,Closed
SHP000107,PO000107,V009,H001,2025-06-30,2025-07-05,75,75,0,5,Delayed,Air,Received
SHP000108,PO000108,V011,H003,2025-11-05,2025-11-10,118,117,1,5,Delayed,Road,Closed
SHP000109,PO000109,V001,H004,2024-06-03,2024-06-06,436,429,7,3,Delayed,Road,Closed
SHP000110,PO000110,V002,H001,2023-04-03,2023-04-07,475,467,8,4,Delayed,Road,Received
SHP000111,PO000111,V002,H002,2025-06-21,2025-06-26,280,278,2,5,Delayed,Road,Closed
SHP000112,PO000112,V012,H002,2023-08-19,2023-08-21,442,434,8,2,Delayed,Road,Received
SHP000113,PO000113,V004,H002,2023-03-23,2023-03-25,275,275,0,2,Delayed,Road,Received
SHP000114,PO000114,V011,H002,2025-12-04,2025-12-06,221,219,2,2,Delayed,Air,Received
SHP000115,PO000115,V006,H005,2025-07-12,2025-07-12,127,127,0,0,Delivered,Road,Received
SHP000116,PO000116,V012,H005,2025-10-05,2025-10-06,82,81,1,1,Delayed,Road,Closed
SHP000117,PO000117,V007,H001,2024-10-23,2024-10-28,262,262,0,5,Delayed,Road,Quality Inspection
SHP000118,PO000118,V002,H005,2023-09-08,2023-09-12,444,444,0,4,Delayed,Air,Closed
SHP000119,PO000119,V004,H001,2025-09-21,2025-09-25,294,294,0,4,Delayed,Air,Quality Inspection
SHP000120,PO000120,V003,H004,2025-11-11,2025-11-15,486,480,6,4,Delayed,Road,Closed
SHP000121,PO000121,V001,H003,2025-11-12,2025-11-13,299,298,1,1,Delayed,Road,Quality Inspection
SHP000122,PO000122,V001,H002,2025-07-10,2025-07-08,249,247,2,-2,Early,Road,Quality Inspection
SHP000123,PO000123,V005,H002,2024-11-11,2024-11-11,480,473,7,0,Delivered,Air,Closed
SHP000124,PO000124,V009,H002,2024-10-25,2024-10-23,251,247,4,-2,Early,Road,Received
SHP000125,PO000125,V002,H004,2023-03-27,2023-03-26,379,373,6,-1,Early,Road,Quality Inspection
SHP000126,PO000126,V007,H004,2026-01-07,2026-01-07,75,74,1,0,Delivered,Road,Received
SHP000127,PO000127,V010,H003,2025-09-02,2025-09-07,217,215,2,5,Delayed,Road,Quality Inspection
SHP000128,PO000128,V004,H005,2026-01-03,2026-01-05,435,429,6,2,Delayed,Road,Received
SHP000129,PO000129,V006,H001,2023-06-08,2023-06-13,59,59,0,5,Delayed,Air,Quality Inspection
SHP000130,PO000130,V007,H001,2023-08-19,2023-08-20,382,381,1,1,Delayed,Road,Closed
SHP000131,PO000131,V008,H004,2024-11-17,2024-11-15,436,436,0,-2,Early,Air,Received
SHP000132,PO000132,V001,H001,2025-12-30,2025-12-28,368,366,2,-2,Early,Road,Quality Inspection
SHP000133,PO000133,V004,H002,2025-10-22,2025-10-21,338,337,1,-1,Early,Road,Quality Inspection
SHP000134,PO000134,V011,H004,2023-02-04,2023-02-07,135,133,2,3,Delayed,Road,Closed
SHP000135,PO000135,V011,H004,2024-12-23,2024-12-22,448,446,2,-1,Early,Air,Received
SHP000136,PO000136,V005,H005,2025-03-19,2025-03-17,209,205,4,-2,Early,Road,Quality Inspection
SHP000137,PO000137,V012,H004,2024-09-12,2024-09-16,416,413,3,4,Delayed,Road,Closed
SHP000138,PO000138,V006,H001,2024-08-27,2024-08-28,102,100,2,1,Delayed,Road,Closed
SHP000139,PO000139,V005,H005,2023-08-08,2023-08-07,457,448,9,-1,Early,Road,Quality Inspection
SHP000140,PO000140,V009,H003,2023-07-16,2023-07-20,388,383,5,4,Delayed,Road,Closed
SHP000141,PO000141,V009,H001,2025-01-31,2025-02-03,56,55,1,3,Delayed,Air,Received
SHP000142,PO000142,V012,H005,2024-12-10,2024-12-14,235,232,3,4,Delayed,Road,Quality Inspection
SHP000143,PO000143,V006,H004,2025-02-06,2025-02-06,425,417,8,0,Delivered,Air,Quality Inspection
SHP000144,PO000144,V004,H004,2025-01-30,2025-02-04,288,285,3,5,Delayed,Air,Closed
SHP000145,PO000145,V003,H003,2025-08-28,2025-08-30,215,214,1,2,Delayed,Air,Received
SHP000146,PO000146,V002,H005,2024-09-20,2024-09-22,280,279,1,2,Delayed,Road,Closed
SHP000147,PO000147,V006,H005,2025-10-23,2025-10-27,222,222,0,4,Delayed,Road,Quality Inspection
SHP000148,PO000148,V001,H005,2025-07-25,2025-07-25,299,298,1,0,Delivered,Road,Quality Inspection
SHP000149,PO000149,V003,H004,2023-07-27,2023-07-30,193,191,2,3,Delayed,Road,Closed
SHP000150,PO000150,V003,H002,2025-07-02,2025-07-03,93,93,0,1,Delayed,Road,Quality Inspection
SHP000151,PO000151,V007,H003,2023-05-30,2023-05-31,403,396,7,1,Delayed,Road,Quality Inspection
SHP000152,PO000152,V004,H004,2024-03-16,2024-03-21,455,455,0,5,Delayed,Road,Received
SHP000153,PO000153,V007,H004,2023-06-15,2023-06-19,404,401,3,4,Delayed,Road,Closed
SHP000154,PO000154,V001,H005,2024-07-28,2024-07-31,292,288,4,3,Delayed,Road,Quality Inspection
SHP000155,PO000155,V002,H003,2023-03-04,2023-03-07,230,227,3,3,Delayed,Road,Quality Inspection
SHP000156,PO000156,V010,H004,2023-02-16,2023-02-17,111,109,2,1,Delayed,Road,Received
SHP000157,PO000157,V012,H005,2023-05-27,2023-05-27,148,148,0,0,Delivered,Road,Quality Inspection
SHP000158,PO000158,V007,H002,2025-11-22,2025-11-24,101,101,0,2,Delayed,Road,Quality Inspection
SHP000159,PO000159,V008,H001,2023-03-27,2023-03-27,204,204,0,0,Delivered,Road,Received
SHP000160,PO000160,V002,H001,2025-07-07,2025-07-09,73,73,0,2,Delayed,Road,Closed
SHP000161,PO000161,V011,H003,2024-08-01,2024-08-01,376,369,7,0,Delivered,Road,Received
SHP000162,PO000162,V012,H004,2023-08-08,2023-08-10,290,287,3,2,Delayed,Road,Received
SHP000163,PO000163,V009,H001,2024-12-07,2024-12-05,179,176,3,-2,Early,Road,Received
SHP000164,PO000164,V005,H001,2024-10-23,2024-10-27,301,301,0,4,Delayed,Road,Closed
SHP000165,PO000165,V006,H004,2023-07-24,2023-07-22,127,127,0,-2,Early,Air,Quality Inspection
SHP000166,PO000166,V004,H004,2023-05-09,2023-05-08,177,177,0,-1,Early,Road,Quality Inspection
SHP000167,PO000167,V008,H002,2024-09-03,2024-09-04,447,439,8,1,Delayed,Road,Quality Inspection
SHP000168,PO000168,V009,H003,2025-09-26,2025-09-28,490,481,9,2,Delayed,Air,Quality Inspection
SHP000169,PO000169,V001,H003,2024-07-31,2024-07-29,362,361,1,-2,Early,Air,Received
SHP000170,PO000170,V010,H002,2023-03-15,2023-03-16,185,185,0,1,Delayed,Road,Received
SHP000171,PO000171,V002,H004,2023-01-23,2023-01-22,130,130,0,-1,Early,Road,Closed
SHP000172,PO000172,V008,H003,2023-03-26,2023-03-31,199,199,0,5,Delayed,Road,Closed
SHP000173,PO000173,V004,H002,2025-02-02,2025-02-04,409,402,7,2,Delayed,Road,Received
SHP000174,PO000174,V002,H002,2023-11-29,2023-12-01,453,444,9,2,Delayed,Road,Received
SHP000175,PO000175,V010,H003,2025-07-08,2025-07-12,108,106,2,4,Delayed,Road,Received
SHP000176,PO000176,V007,H002,2025-06-24,2025-06-26,473,471,2,2,Delayed,Road,Received
SHP000177,PO000177,V008,H002,2023-04-26,2023-04-28,354,350,4,2,Delayed,Road,Quality Inspection
SHP000178,PO000178,V009,H005,2024-03-20,2024-03-22,408,402,6,2,Delayed,Air,Closed
SHP000179,PO000179,V010,H001,2025-06-14,2025-06-19,274,274,0,5,Delayed,Road,Quality Inspection
SHP000180,PO000180,V001,H005,2023-06-04,2023-06-07,359,355,4,3,Delayed,Road,Received
SHP000181,PO000181,V012,H002,2025-06-14,2025-06-12,441,437,4,-2,Early,Road,Received
SHP000182,PO000182,V007,H003,2024-01-12,2024-01-17,315,310,5,5,Delayed,Road,Quality Inspection
SHP000183,PO000183,V006,H001,2025-06-29,2025-06-29,349,346,3,0,Delivered,Road,Quality Inspection
SHP000184,PO000184,V003,H005,2024-11-18,2024-11-17,290,288,2,-1,Early,Road,Quality Inspection
SHP000185,PO000185,V008,H002,2025-01-11,2025-01-10,489,487,2,-1,Early,Road,Closed
SHP000186,PO000186,V003,H001,2023-11-15,2023-11-20,197,194,3,5,Delayed,Air,Closed
SHP000187,PO000187,V009,H004,2024-10-21,2024-10-19,282,282,0,-2,Early,Road,Quality Inspection
SHP000188,PO000188,V005,H004,2023-05-17,2023-05-16,445,439,6,-1,Early,Air,Received
SHP000189,PO000189,V010,H003,2025-02-08,2025-02-13,261,261,0,5,Delayed,Road,Quality Inspection
SHP000190,PO000190,V008,H002,2025-08-27,2025-09-01,370,363,7,5,Delayed,Road,Received
SHP000191,PO000191,V003,H005,2025-10-28,2025-10-30,331,330,1,2,Delayed,Air,Quality Inspection
SHP000192,PO000192,V001,H004,2025-11-06,2025-11-11,112,112,0,5,Delayed,Air,Closed
SHP000193,PO000193,V011,H003,2025-01-30,2025-01-31,413,411,2,1,Delayed,Road,Received
SHP000194,PO000194,V010,H005,2024-11-30,2024-12-04,97,97,0,4,Delayed,Air,Received
SHP000195,PO000195,V007,H005,2024-06-25,2024-06-30,110,108,2,5,Delayed,Air,Quality Inspection
SHP000196,PO000196,V006,H005,2024-10-15,2024-10-17,310,305,5,2,Delayed,Road,Quality Inspection
SHP000197,PO000197,V005,H002,2025-03-03,2025-03-08,174,171,3,5,Delayed,Road,Quality Inspection
SHP000198,PO000198,V008,H005,2025-11-29,2025-11-30,356,354,2,1,Delayed,Air,Quality Inspection
SHP000199,PO000199,V007,H003,2025-10-17,2025-10-21,224,220,4,4,Delayed,Road,Received
SHP000200,PO000200,V002,H002,2025-11-15,2025-11-17,421,417,4,2,Delayed,Air,Closed
SHP000201,PO000201,V009,H004,2023-12-11,2023-12-16,493,491,2,5,Delayed,Road,Quality Inspection
SHP000202,PO000202,V010,H001,2024-05-15,2024-05-18,220,216,4,3,Delayed,Road,Quality Inspection
SHP000203,PO000203,V005,H003,2024-10-16,2024-10-21,214,213,1,5,Delayed,Air,Received
SHP000204,PO000204,V010,H004,2024-08-14,2024-08-18,169,166,3,4,Delayed,Road,Closed
SHP000205,PO000205,V004,H002,2023-04-23,2023-04-28,411,405,6,5,Delayed,Road,Closed
SHP000206,PO000206,V001,H005,2023-06-28,2023-06-28,303,303,0,0,Delivered,Road,Closed
SHP000207,PO000207,V012,H003,2023-07-23,2023-07-26,495,494,1,3,Delayed,Air,Quality Inspection
SHP000208,PO000208,V004,H004,2025-03-28,2025-03-27,319,316,3,-1,Early,Road,Received
SHP000209,PO000209,V012,H005,2023-03-15,2023-03-19,495,493,2,4,Delayed,Road,Quality Inspection
SHP000210,PO000210,V012,H004,2023-04-05,2023-04-08,369,363,6,3,Delayed,Road,Quality Inspection
SHP000211,PO000211,V007,H002,2023-02-05,2023-02-09,212,209,3,4,Delayed,Air,Received
SHP000212,PO000212,V005,H005,2023-09-06,2023-09-05,170,168,2,-1,Early,Air,Closed
SHP000213,PO000213,V008,H001,2025-08-16,2025-08-15,272,272,0,-1,Early,Road,Closed
SHP000214,PO000214,V002,H004,2023-11-01,2023-10-31,277,276,1,-1,Early,Road,Received
SHP000215,PO000215,V011,H004,2024-02-03,2024-02-01,216,216,0,-2,Early,Road,Quality Inspection
SHP000216,PO000216,V003,H004,2025-08-25,2025-08-29,124,124,0,4,Delayed,Road,Closed
SHP000217,PO000217,V007,H001,2023-06-13,2023-06-13,137,137,0,0,Delivered,Road,Quality Inspection
SHP000218,PO000218,V012,H004,2023-10-17,2023-10-18,304,300,4,1,Delayed,Road,Quality Inspection
SHP000219,PO000219,V008,H004,2025-09-29,2025-10-01,285,283,2,2,Delayed,Road,Quality Inspection
SHP000220,PO000220,V002,H003,2024-09-02,2024-09-04,396,394,2,2,Delayed,Road,Quality Inspection
SHP000221,PO000221,V009,H004,2025-12-03,2025-12-05,377,371,6,2,Delayed,Road,Quality Inspection
SHP000222,PO000222,V008,H004,2025-01-23,2025-01-25,151,148,3,2,Delayed,Air,Received
SHP000223,PO000223,V001,H001,2025-04-06,2025-04-07,245,241,4,1,Delayed,Road,Quality Inspection
SHP000224,PO000224,V011,H005,2025-02-06,2025-02-08,61,60,1,2,Delayed,Road,Closed
SHP000225,PO000225,V009,H002,2024-09-05,2024-09-03,360,353,7,-2,Early,Air,Quality Inspection
SHP000226,PO000226,V003,H005,2025-07-07,2025-07-08,360,355,5,1,Delayed,Road,Received
SHP000227,PO000227,V010,H005,2025-01-06,2025-01-08,397,395,2,2,Delayed,Road,Closed
SHP000228,PO000228,V003,H001,2025-04-16,2025-04-14,208,205,3,-2,Early,Road,Quality Inspection
SHP000229,PO000229,V009,H003,2023-09-28,2023-09-28,96,95,1,0,Delivered,Road,Quality Inspection
SHP000230,PO000230,V004,H002,2023-11-17,2023-11-17,152,151,1,0,Delivered,Road,Quality Inspection
SHP000231,PO000231,V010,H002,2026-01-03,2026-01-05,475,473,2,2,Delayed,Road,Quality Inspection
SHP000232,PO000232,V001,H001,2023-03-02,2023-03-04,432,427,5,2,Delayed,Air,Quality Inspection
SHP000233,PO000233,V002,H001,2024-06-27,2024-06-26,122,122,0,-1,Early,Air,Closed
SHP000234,PO000234,V006,H001,2023-09-27,2023-10-01,483,475,8,4,Delayed,Road,Quality Inspection
SHP000235,PO000235,V009,H003,2024-10-28,2024-10-26,185,185,0,-2,Early,Road,Closed
SHP000236,PO000236,V010,H002,2024-01-06,2024-01-08,349,346,3,2,Delayed,Air,Quality Inspection
SHP000237,PO000237,V005,H001,2025-10-29,2025-10-28,395,392,3,-1,Early,Road,Closed
SHP000238,PO000238,V012,H002,2023-07-12,2023-07-15,362,359,3,3,Delayed,Road,Closed
SHP000239,PO000239,V002,H005,2025-04-28,2025-05-03,408,404,4,5,Delayed,Road,Received
SHP000240,PO000240,V004,H001,2025-12-01,2025-12-01,73,73,0,0,Delivered,Road,Quality Inspection
SHP000241,PO000241,V005,H002,2025-06-26,2025-06-25,99,99,0,-1,Early,Air,Received
SHP000242,PO000242,V001,H004,2024-10-29,2024-11-02,282,280,2,4,Delayed,Road,Closed
SHP000243,PO000243,V005,H005,2024-02-28,2024-03-03,350,348,2,4,Delayed,Air,Closed
SHP000244,PO000244,V006,H004,2023-11-30,2023-11-29,476,469,7,-1,Early,Road,Quality Inspection
SHP000245,PO000245,V007,H004,2023-04-29,2023-04-27,403,398,5,-2,Early,Road,Quality Inspection
SHP000246,PO000246,V005,H005,2024-09-06,2024-09-07,487,482,5,1,Delayed,Road,Closed
SHP000247,PO000247,V011,H002,2025-08-01,2025-08-04,328,323,5,3,Delayed,Road,Quality Inspection
SHP000248,PO000248,V002,H005,2024-03-03,2024-03-05,147,147,0,2,Delayed,Air,Quality Inspection
SHP000249,PO000249,V007,H003,2025-04-21,2025-04-20,389,386,3,-1,Early,Road,Closed
SHP000250,PO000250,V001,H005,2025-08-20,2025-08-18,75,74,1,-2,Early,Road,Received
SHP000251,PO000251,V005,H004,2024-09-07,2024-09-08,85,85,0,1,Delayed,Road,Received
SHP000252,PO000252,V006,H002,2024-10-20,2024-10-23,446,444,2,3,Delayed,Road,Closed
SHP000253,PO000253,V012,H003,2024-10-09,2024-10-07,191,190,1,-2,Early,Air,Closed
SHP000254,PO000254,V002,H005,2024-03-26,2024-03-28,458,456,2,2,Delayed,Road,Received
SHP000255,PO000255,V009,H004,2023-01-29,2023-01-29,57,56,1,0,Delivered,Road,Received
SHP000256,PO000256,V003,H002,2025-01-24,2025-01-27,58,58,0,3,Delayed,Road,Received
SHP000257,PO000257,V001,H002,2024-08-21,2024-08-25,319,319,0,4,Delayed,Road,Quality Inspection
SHP000258,PO000258,V008,H002,2023-10-13,2023-10-18,448,443,5,5,Delayed,Road,Received
SHP000259,PO000259,V002,H003,2023-11-02,2023-11-07,307,306,1,5,Delayed,Air,Received
SHP000260,PO000260,V003,H003,2024-11-18,2024-11-20,284,279,5,2,Delayed,Air,Received
SHP000261,PO000261,V011,H005,2024-10-29,2024-11-03,483,477,6,5,Delayed,Road,Received
SHP000262,PO000262,V010,H001,2025-11-18,2025-11-23,414,407,7,5,Delayed,Road,Received
SHP000263,PO000263,V008,H005,2023-09-04,2023-09-07,361,359,2,3,Delayed,Road,Quality Inspection
SHP000264,PO000264,V002,H003,2024-07-07,2024-07-10,245,241,4,3,Delayed,Road,Quality Inspection
SHP000265,PO000265,V012,H002,2024-05-27,2024-05-31,100,98,2,4,Delayed,Road,Closed
SHP000266,PO000266,V002,H005,2023-11-17,2023-11-18,270,267,3,1,Delayed,Air,Quality Inspection
