Financial_ID,PO_ID,Vendor_ID,Hospital_ID,Department_ID,Cost_Center,Invoice_Number,Invoice_Date,Payment_Due_Date,Payment_Date,Transaction_Date,Expense_Category,Expense_Type,Budget_Amount,Actual_Amount,Variance,Variance_Percentage,Payment_Method,Payment_Status,Fiscal_Year,Fiscal_Quarter,Budget_Status
FIN000014,PO000014,V001,H003,D0058,CC1018,INV-2025-000014,2025-04-08,2025-05-08,,2025-04-07,Administration,CAPEX,40809.05,42822.75,2013.7,4.93,UPI,Pending,FY2025,Q2,Over Budget
FIN000015,PO000015,V006,H005,D0091,CC1011,INV-2023-000015,2023-09-03,2023-11-02,2023-11-01,2023-08-31,Administration,CAPEX,24767786.34,25127441.3,359654.96,1.45,Bank Transfer,Paid,FY2023,Q3,Over Budget
FIN000016,PO000016,V008,H003,D0051,CC1011,INV-2025-000016,2025-03-19,2025-05-18,2025-05-17,2025-03-19,Laboratory,OPEX,8873763.43,8441905.66,-431857.77,-4.87,Cheque,Paid,FY2025,Q1,Within Budget
FIN000017,PO000017,V012,H001,D0014,CC1014,INV-2024-000017,2024-07-22,2024-09-20,2024-09-16,2024-07-19,Medical Supplies,OPEX,17370.55,17791.79,421.24,2.43,UPI,Paid,FY2024,Q3,Over Budget
FIN000018,PO000018,V007,H002,D0022,CC1002,INV-2024-000018,2024-07-20,2024-09-18,2024-09-15,2024-07-18,Equipment,CAPEX,28726512.35,27354009.6,-1372502.75,-4.78,Bank Transfer,Paid,FY2024,Q3,Within Budget
FIN000019,PO000019,V012,H003,D0056,CC1016,INV-2025-000019,2025-02-22,2025-04-23,2025-04-25,2025-02-20,Administration,OPEX,31731.59,29091.18,-2640.41,-8.32,Wire Transfer,Partially Paid,FY2025,Q1,Within Budget
FIN000020,PO000020,V010,H001,D0016,CC1016,INV-2025-000020,2025-01-30,2025-03-16,2025-03-15,2025-01-29,Administration,OPEX,3895.36,3646.2,-249.16,-6.4,UPI,Paid,FY2025,Q1,Within Budget
FIN000021,PO000021,V002,H005,D0094,CC1014,INV-2025-000021,2025-10-01,2025-11-15,2025-11-13,2025-10-01,Pharmacy,OPEX,120245.3,124628.33,4383.03,3.65,Bank Transfer,Paid,FY2025,Q4,Over Budget
FIN000022,PO000022,V006,H005,D0095,CC1015,INV-2026-000022,2026-01-07,2026-03-08,2026-03-05,2026-01-07,Medical Supplies,OPEX,13812635.7,14567612.13,754976.43,5.47,ACH,Paid,FY2026,Q1,Over Budget
FIN000023,PO000023,V001,H004,D0066,CC1006,INV-2025-000023,2025-04-08,2025-05-08,2025-05-04,2025-04-07,Laboratory,OPEX,119911.48,116198.91,-3712.57,-3.1,UPI,Paid,FY2025,Q2,Within Budget
FIN000024,PO000024,V011,H003,D0045,CC1005,INV-2023-000024,2023-05-31,2023-07-30,,2023-05-30,Laboratory,CAPEX,35212.15,33501.78,-1710.37,-4.86,Cheque,Pending,FY2023,Q2,Within Budget
FIN000025,PO000025,V006,H001,D0018,CC1018,INV-2023-000025,2023-06-14,2023-08-13,2023-08-12,2023-06-11,Medical Supplies,CAPEX,3518415.01,3258024.51,-260390.5,-7.4,Bank Transfer,Paid,FY2023,Q2,Within Budget
FIN000026,PO000026,V011,H001,D0009,CC1009,INV-2025-000026,2025-12-05,2026-02-03,2026-02-03,2025-12-04,Medical Supplies,OPEX,28390.37,27897.65,-492.72,-1.74,ACH,Paid,FY2025,Q4,Within Budget
FIN000027,PO000027,V010,H004,D0065,CC1005,INV-2024-000027,2024-05-31,2024-07-15,2024-07-22,2024-05-31,Administration,OPEX,5766.64,6312.83,546.19,9.47,Wire Transfer,Overdue,FY2024,Q2,Over Budget
FIN000028,PO000028,V003,H005,D0085,CC1005,INV-2025-000028,2025-05-27,2025-06-26,2025-06-21,2025-05-26,Administration,CAPEX,18247.28,17650.76,-596.52,-3.27,ACH,Paid,FY2025,Q2,Within Budget
FIN000029,PO000029,V002,H005,D0088,CC1008,INV-2025-000029,2025-04-20,2025-06-04,2025-06-04,2025-04-17,Laboratory,CAPEX,34847.73,32970.9,-1876.83,-5.39,Cheque,Paid,FY2025,Q2,Within Budget
FIN000030,PO000030,V011,H004,D0071,CC1011,INV-2025-000030,2025-05-29,2025-07-28,,2025-05-29,Medical Supplies,OPEX,7934.67,8078.3,143.63,1.81,Cheque,Pending,FY2025,Q2,Over Budget
FIN000031,PO000031,V009,H003,D0055,CC1015,INV-2023-000031,2023-07-30,2023-09-13,2023-09-12,2023-07-30,Administration,CAPEX,115773.61,110720.05,-5053.56,-4.37,ACH,Paid,FY2023,Q3,Within Budget
FIN000032,PO000032,V010,H003,D0049,CC1009,INV-2025-000032,2025-05-03,2025-06-17,2025-06-17,2025-05-01,Laboratory,OPEX,7404.86,7522.39,117.53,1.59,Bank Transfer,Paid,FY2025,Q2,Over Budget
FIN000033,PO000033,V002,H001,D0004,CC1004,INV-2025-000033,2025-02-23,2025-04-09,2025-04-12,2025-02-23,Equipment,CAPEX,276836.8,268661.7,-8175.1,-2.95,Cheque,Partially Paid,FY2025,Q1,Within Budget
FIN000034,PO000034,V008,H005,D0096,CC1016,INV-2025-000034,2025-06-15,2025-08-14,2025-08-16,2025-06-12,Laboratory,OPEX,17207881.21,17272277.73,64396.52,0.37,Cheque,Partially Paid,FY2025,Q2,Over Budget
FIN000035,PO000035,V012,H003,D0043,CC1003,INV-2024-000035,2024-10-21,2024-12-20,2024-12-15,2024-10-18,Administration,CAPEX,8126.95,8527.39,400.44,4.93,ACH,Paid,FY2024,Q4,Over Budget
FIN000036,PO000036,V002,H002,D0035,CC1015,INV-2025-000036,2025-11-16,2025-12-31,2026-01-09,2025-11-15,Administration,OPEX,93171.49,99332.11,6160.62,6.61,Wire Transfer,Partially Paid,FY2025,Q4,Over Budget
FIN000037,PO000037,V002,H005,D0088,CC1008,INV-2023-000037,2023-09-17,2023-11-01,2023-10-28,2023-09-14,Equipment,OPEX,71085.49,77993.1,6907.61,9.72,UPI,Paid,FY2023,Q3,Over Budget
FIN000038,PO000038,V004,H002,D0025,CC1005,INV-2024-000038,2024-03-04,2024-04-18,2024-04-18,2024-03-03,Equipment,CAPEX,3418.56,3731.96,313.4,9.17,Bank Transfer,Paid,FY2024,Q1,Over Budget
FIN000039,PO000039,V007,H005,D0082,CC1002,INV-2024-000039,2024-11-03,2025-01-02,2025-01-02,2024-11-02,Administration,OPEX,33091901.31,30406429.05,-2685472.26,-8.12,Cheque,Paid,FY2024,Q4,Within Budget
FIN000040,PO000040,V007,H005,D0090,CC1010,INV-2024-000040,2024-04-10,2024-06-09,2024-06-12,2024-04-08,Pharmacy,OPEX,1374750.36,1332800.94,-41949.42,-3.05,Wire Transfer,Partially Paid,FY2024,Q2,Within Budget
FIN000041,PO000041,V007,H002,D0026,CC1006,INV-2024-000041,2024-09-02,2024-11-01,2024-11-01,2024-08-31,Medical Supplies,CAPEX,24400827.79,24920236.05,519408.26,2.13,UPI,Paid,FY2024,Q3,Over Budget
FIN000042,PO000042,V007,H005,D0081,CC1001,INV-2023-000042,2023-08-26,2023-10-25,2023-10-24,2023-08-26,Administration,CAPEX,17163137.56,15607238.13,-1555899.43,-9.07,ACH,Paid,FY2023,Q3,Within Budget
FIN000043,PO000043,V008,H004,D0067,CC1007,INV-2024-000043,2024-08-23,2024-10-22,2024-11-07,2024-08-23,Pharmacy,OPEX,30272688.55,27858681.54,-2414007.01,-7.97,Cheque,Overdue,FY2024,Q3,Within Budget
FIN000044,PO000044,V010,H003,D0055,CC1015,INV-2024-000044,2024-06-12,2024-07-27,2024-07-22,2024-06-10,Administration,OPEX,2360.02,2212.35,-147.67,-6.26,UPI,Paid,FY2024,Q2,Within Budget
FIN000045,PO000045,V009,H002,D0035,CC1015,INV-2023-000045,2023-01-23,2023-03-09,2023-03-11,2023-01-23,Pharmacy,OPEX,51781.26,53945.79,2164.53,4.18,Bank Transfer,Partially Paid,FY2023,Q1,Over Budget
FIN000046,PO000046,V001,H002,D0032,CC1012,INV-2025-000046,2025-05-31,2025-06-30,2025-06-26,2025-05-30,Equipment,CAPEX,117752.52,112307.48,-5445.04,-4.62,ACH,Paid,FY2025,Q2,Within Budget
FIN000047,PO000047,V010,H004,D0067,CC1007,INV-2025-000047,2025-02-11,2025-03-28,2025-03-26,2025-02-09,Medical Supplies,OPEX,2811.13,2709.52,-101.61,-3.61,Cheque,Paid,FY2025,Q1,Within Budget
FIN000048,PO000048,V006,H002,D0024,CC1004,INV-2025-000048,2025-01-21,2025-03-22,2025-03-21,2025-01-21,Pharmacy,OPEX,1515491.63,1421835.85,-93655.78,-6.18,Cheque,Paid,FY2025,Q1,Within Budget
FIN000049,PO000049,V012,H002,D0027,CC1007,INV-2024-000049,2024-05-18,2024-07-17,2024-07-17,2024-05-15,Medical Supplies,OPEX,22787.88,22554.75,-233.13,-1.02,UPI,Paid,FY2024,Q2,Within Budget
FIN000050,PO000050,V002,H001,D0010,CC1010,INV-2024-000050,2024-06-06,2024-07-21,2024-07-20,2024-06-04,Laboratory,OPEX,162718.23,179362.02,16643.79,10.23,Bank Transfer,Paid,FY2024,Q2,Over Budget
FIN000051,PO000051,V006,H004,D0078,CC1018,INV-2024-000051,2024-04-19,2024-06-18,2024-06-29,2024-04-19,Equipment,OPEX,9714644.83,10102041.24,387396.41,3.99,Wire Transfer,Overdue,FY2024,Q2,Over Budget
FIN000052,PO000052,V001,H001,D0016,CC1016,INV-2023-000052,2023-03-01,2023-03-31,2023-04-02,2023-02-26,Equipment,OPEX,143683.95,136061.35,-7622.6,-5.31,ACH,Partially Paid,FY2023,Q1,Within Budget
FIN000053,PO000053,V006,H005,D0094,CC1014,INV-2025-000053,2025-01-11,2025-03-12,2025-03-10,2025-01-11,Laboratory,OPEX,22871240.38,21250205.81,-1621034.57,-7.09,Wire Transfer,Paid,FY2025,Q1,Within Budget
FIN000054,PO000054,V005,H005,D0081,CC1001,INV-2024-000054,2024-07-16,2024-09-14,2024-09-14,2024-07-16,Laboratory,OPEX,1650019.03,1770711.49,120692.46,7.31,ACH,Paid,FY2024,Q3,Over Budget
FIN000055,PO000055,V012,H003,D0060,CC1020,INV-2025-000055,2025-12-01,2026-01-30,2026-01-29,2025-11-28,Equipment,OPEX,15144.85,14243.02,-901.83,-5.95,ACH,Paid,FY2025,Q4,Within Budget
FIN000056,PO000056,V005,H003,D0047,CC1007,INV-2023-000056,2023-01-28,2023-03-29,2023-04-11,2023-01-26,Pharmacy,CAPEX,30642044.92,31277184.59,635139.67,2.07,UPI,Overdue,FY2023,Q1,Over Budget
FIN000057,PO000057,V007,H002,D0023,CC1003,INV-2023-000057,2023-10-10,2023-12-09,2023-12-07,2023-10-10,Equipment,CAPEX,601843.95,622878.58,21034.63,3.5,Bank Transfer,Paid,FY2023,Q4,Over Budget
FIN000058,PO000058,V004,H004,D0067,CC1007,INV-2023-000058,2023-09-28,2023-11-12,2023-11-10,2023-09-25,Laboratory,OPEX,15454.26,16767.48,1313.22,8.5,Cheque,Paid,FY2023,Q3,Over Budget
FIN000059,PO000059,V012,H002,D0024,CC1004,INV-2025-000059,2025-04-26,2025-06-25,2025-06-20,2025-04-25,Laboratory,OPEX,22767.48,21082.93,-1684.55,-7.4,UPI,Paid,FY2025,Q2,Within Budget
FIN000060,PO000060,V001,H002,D0021,CC1001,INV-2025-000060,2025-07-06,2025-08-05,2025-08-05,2025-07-05,Pharmacy,CAPEX,41876.97,38592.19,-3284.78,-7.84,Bank Transfer,Paid,FY2025,Q3,Within Budget
FIN000061,PO000061,V012,H001,D0004,CC1004,INV-2024-000061,2024-08-25,2024-10-24,2024-10-19,2024-08-23,Laboratory,CAPEX,24190.86,23172.41,-1018.45,-4.21,Cheque,Paid,FY2024,Q3,Within Budget
FIN000062,PO000062,V011,H002,D0032,CC1012,INV-2023-000062,2023-11-12,2024-01-11,2024-01-06,2023-11-11,Laboratory,OPEX,14193.68,13655.1,-538.58,-3.79,UPI,Paid,FY2023,Q4,Within Budget
FIN000063,PO000063,V011,H002,D0040,CC1020,INV-2025-000063,2025-05-17,2025-07-16,2025-07-16,2025-05-14,Pharmacy,CAPEX,18681.61,18426.93,-254.68,-1.36,ACH,Paid,FY2025,Q2,Within Budget
FIN000064,PO000064,V004,H001,D0007,CC1007,INV-2023-000064,2023-08-19,2023-10-03,2023-09-30,2023-08-17,Equipment,CAPEX,10268.35,10414.38,146.03,1.42,ACH,Paid,FY2023,Q3,Over Budget
FIN000065,PO000065,V011,H003,D0046,CC1006,INV-2024-000065,2024-06-10,2024-08-09,2024-08-04,2024-06-08,Administration,CAPEX,17834.23,17285.08,-549.15,-3.08,Bank Transfer,Paid,FY2024,Q2,Within Budget
FIN000066,PO000066,V009,H003,D0056,CC1016,INV-2025-000066,2025-11-16,2025-12-31,,2025-11-15,Equipment,OPEX,91487.57,86010.05,-5477.52,-5.99,ACH,Pending,FY2025,Q4,Within Budget
FIN000067,PO000067,V011,H005,D0091,CC1011,INV-2024-000067,2024-07-01,2024-08-30,2024-09-08,2024-06-30,Medical Supplies,CAPEX,20981.87,23187.33,2205.46,10.51,Cheque,Partially Paid,FY2024,Q2,Over Budget
FIN000068,PO000068,V010,H005,D0085,CC1005,INV-2025-000068,2025-07-03,2025-08-17,,2025-07-02,Laboratory,CAPEX,2044.56,1897.98,-146.58,-7.17,Cheque,Pending,FY2025,Q3,Within Budget
FIN000069,PO000069,V007,H003,D0053,CC1013,INV-2023-000069,2023-11-05,2024-01-04,2024-01-12,2023-11-05,Laboratory,OPEX,33098624.64,34884836.85,1786212.21,5.4,ACH,Overdue,FY2023,Q4,Over Budget
FIN000070,PO000070,V006,H002,D0030,CC1010,INV-2025-000070,2025-05-24,2025-07-23,2025-07-22,2025-05-21,Medical Supplies,CAPEX,15644906.42,14747909.49,-896996.93,-5.73,ACH,Paid,FY2025,Q2,Within Budget
FIN000071,PO000071,V004,H001,D0020,CC1020,INV-2025-000071,2025-05-22,2025-07-06,2025-07-13,2025-05-20,Administration,CAPEX,13405.64,12643.45,-762.19,-5.69,UPI,Partially Paid,FY2025,Q2,Within Budget
FIN000072,PO000072,V003,H005,D0081,CC1001,INV-2024-000072,2024-09-13,2024-10-13,,2024-09-12,Laboratory,CAPEX,10040.89,10150.69,109.8,1.09,Wire Transfer,Pending,FY2024,Q3,Over Budget
FIN000073,PO000073,V003,H005,D0083,CC1003,INV-2024-000073,2024-04-03,2024-05-03,,2024-04-01,Administration,CAPEX,7176.7,6832.64,-344.06,-4.79,ACH,Pending,FY2024,Q2,Within Budget
FIN000074,PO000074,V012,H003,D0047,CC1007,INV-2023-000074,2023-12-26,2024-02-24,,2023-12-26,Equipment,CAPEX,11375.32,11912.33,537.01,4.72,Wire Transfer,Pending,FY2023,Q4,Over Budget
FIN000075,PO000075,V006,H005,D0085,CC1005,INV-2023-000075,2023-07-13,2023-09-11,2023-09-10,2023-07-13,Laboratory,OPEX,20160399.93,20914538.15,754138.22,3.74,ACH,Paid,FY2023,Q3,Over Budget
FIN000076,PO000076,V001,H001,D0015,CC1015,INV-2024-000076,2024-11-12,2024-12-12,2024-12-09,2024-11-09,Laboratory,OPEX,74323.36,81419.41,7096.05,9.55,ACH,Paid,FY2024,Q4,Over Budget
FIN000077,PO000077,V007,H003,D0049,CC1009,INV-2025-000077,2025-06-12,2025-08-11,2025-08-20,2025-06-09,Medical Supplies,CAPEX,1555909.48,1458786.08,-97123.4,-6.24,Cheque,Partially Paid,FY2025,Q2,Within Budget
FIN000078,PO000078,V009,H004,D0073,CC1013,INV-2024-000078,2024-04-17,2024-06-01,2024-05-29,2024-04-15,Laboratory,OPEX,140954.95,156411.67,15456.72,10.97,Cheque,Paid,FY2024,Q2,Over Budget
FIN000079,PO000079,V011,H002,D0039,CC1019,INV-2023-000079,2023-11-28,2024-01-27,2024-01-24,2023-11-25,Pharmacy,CAPEX,7446.25,7888.94,442.69,5.95,ACH,Paid,FY2023,Q4,Over Budget
FIN000080,PO000080,V007,H002,D0024,CC1004,INV-2024-000080,2024-07-07,2024-09-05,2024-09-13,2024-07-06,Medical Supplies,CAPEX,1832364.47,1715534.62,-116829.85,-6.38,UPI,Partially Paid,FY2024,Q3,Within Budget
FIN000081,PO000081,V002,H004,D0065,CC1005,INV-2024-000081,2024-10-08,2024-11-22,2024-11-19,2024-10-08,Equipment,CAPEX,142850.47,141034.18,-1816.29,-1.27,ACH,Paid,FY2024,Q4,Within Budget
FIN000082,PO000082,V001,H002,D0023,CC1003,INV-2024-000082,2024-02-20,2024-03-21,2024-03-18,2024-02-17,Pharmacy,CAPEX,100212.07,110116.27,9904.2,9.88,Cheque,Paid,FY2024,Q1,Over Budget
FIN000083,PO000083,V011,H005,D0096,CC1016,INV-2023-000083,2023-04-16,2023-06-15,2023-06-15,2023-04-13,Laboratory,OPEX,12742.58,13333.92,591.34,4.64,UPI,Paid,FY2023,Q2,Over Budget
FIN000084,PO000084,V010,H003,D0044,CC1004,INV-2025-000084,2025-05-31,2025-07-15,2025-07-15,2025-05-29,Medical Supplies,OPEX,1315.7,1445.16,129.46,9.84,ACH,Paid,FY2025,Q2,Over Budget
FIN000085,PO000085,V005,H002,D0025,CC1005,INV-2025-000085,2025-07-01,2025-08-30,2025-08-29,2025-07-01,Equipment,CAPEX,26779304.11,28492497.09,1713192.98,6.4,Bank Transfer,Paid,FY2025,Q3,Over Budget
FIN000086,PO000086,V008,H004,D0079,CC1019,INV-2025-000086,2025-07-06,2025-09-04,2025-09-02,2025-07-05,Pharmacy,OPEX,17517917.41,17296625.83,-221291.58,-1.26,UPI,Paid,FY2025,Q3,Within Budget
FIN000087,PO000087,V012,H003,D0042,CC1002,INV-2025-000087,2025-07-29,2025-09-27,,2025-07-29,Equipment,CAPEX,9715.52,9511.5,-204.02,-2.1,Bank Transfer,Pending,FY2025,Q3,Within Budget
FIN000088,PO000088,V009,H003,D0047,CC1007,INV-2023-000088,2023-03-19,2023-05-03,2023-04-30,2023-03-17,Laboratory,OPEX,33390.24,32872.92,-517.32,-1.55,Bank Transfer,Paid,FY2023,Q1,Within Budget
FIN000089,PO000089,V007,H005,D0099,CC1019,INV-2024-000089,2024-12-26,2025-02-24,2025-02-22,2024-12-25,Administration,OPEX,15655380.13,15372230.22,-283149.91,-1.81,UPI,Paid,FY2024,Q4,Within Budget
FIN000090,PO000090,V008,H004,D0072,CC1012,INV-2024-000090,2024-06-06,2024-08-05,2024-07-31,2024-06-04,Pharmacy,OPEX,5980559.2,5660583.03,-319976.17,-5.35,UPI,Paid,FY2024,Q2,Within Budget
FIN000091,PO000091,V006,H003,D0047,CC1007,INV-2025-000091,2025-07-22,2025-09-20,2025-10-10,2025-07-22,Medical Supplies,CAPEX,35424622.77,34409252.16,-1015370.61,-2.87,Wire Transfer,Overdue,FY2025,Q3,Within Budget
FIN000092,PO000092,V011,H001,D0009,CC1009,INV-2025-000092,2025-02-17,2025-04-18,,2025-02-14,Laboratory,OPEX,22288.06,21699.63,-588.43,-2.64,UPI,Pending,FY2025,Q1,Within Budget
FIN000093,PO000093,V003,H002,D0029,CC1009,INV-2025-000093,2025-07-27,2025-08-26,2025-08-22,2025-07-25,Laboratory,CAPEX,14980.24,13704.43,-1275.81,-8.52,Cheque,Paid,FY2025,Q3,Within Budget
FIN000094,PO000094,V005,H001,D0013,CC1013,INV-2023-000094,2023-09-25,2023-11-24,2023-11-23,2023-09-23,Medical Supplies,CAPEX,19914169.52,18696171.53,-1217997.99,-6.12,Cheque,Paid,FY2023,Q3,Within Budget
FIN000095,PO000095,V007,H005,D0090,CC1010,INV-2023-000095,2023-08-23,2023-10-22,2023-10-17,2023-08-20,Laboratory,CAPEX,34807441.1,36686807.65,1879366.55,5.4,Bank Transfer,Paid,FY2023,Q3,Over Budget
FIN000096,PO000096,V005,H005,D0092,CC1012,INV-2026-000096,2026-01-21,2026-03-22,2026-03-21,2026-01-19,Pharmacy,CAPEX,2668442.81,2671484.83,3042.02,0.11,Wire Transfer,Paid,FY2026,Q1,Over Budget
FIN000097,PO000097,V003,H001,D0013,CC1013,INV-2025-000097,2025-10-08,2025-11-07,2025-11-03,2025-10-06,Equipment,OPEX,15099.54,15795.63,696.09,4.61,ACH,Paid,FY2025,Q4,Over Budget
FIN000098,PO000098,V006,H004,D0075,CC1015,INV-2024-000098,2024-12-19,2025-02-17,2025-02-16,2024-12-16,Laboratory,CAPEX,67062730.82,64235413.41,-2827317.41,-4.22,Cheque,Paid,FY2024,Q4,Within Budget
FIN000099,PO000099,V002,H005,D0081,CC1001,INV-2023-000099,2023-05-28,2023-07-12,2023-07-09,2023-05-28,Equipment,CAPEX,89212.69,84275.29,-4937.4,-5.53,UPI,Paid,FY2023,Q2,Within Budget
FIN000100,PO000100,V002,H004,D0074,CC1014,INV-2023-000100,2023-11-16,2023-12-31,2023-12-26,2023-11-14,Administration,CAPEX,230422.92,236621.43,6198.51,2.69,Wire Transfer,Paid,FY2023,Q4,Over Budget
FIN000101,PO000101,V006,H004,D0065,CC1005,INV-2025-000101,2025-12-30,2026-02-28,2026-02-27,2025-12-28,Medical Supplies,OPEX,33628981.95,32317816.2,-1311165.75,-3.9,Wire Transfer,Paid,FY2025,Q4,Within Budget
FIN000102,PO000102,V008,H001,D0019,CC1019,INV-2023-000102,2023-05-26,2023-07-25,2023-07-20,2023-05-25,Laboratory,CAPEX,2319944.71,2511004.68,191059.97,8.24,UPI,Paid,FY2023,Q2,Over Budget
FIN000103,PO000103,V003,H005,D0095,CC1015,INV-2024-000103,2024-05-13,2024-06-12,2024-06-15,2024-05-11,Pharmacy,OPEX,54107.74,49398.96,-4708.78,-8.7,Wire Transfer,Partially Paid,FY2024,Q2,Within Budget
FIN000104,PO000104,V007,H003,D0058,CC1018,INV-2024-000104,2024-09-11,2024-11-10,,2024-09-11,Equipment,CAPEX,435454.98,465285.2,29830.22,6.85,Bank Transfer,Pending,FY2024,Q3,Over Budget
FIN000105,PO000105,V005,H004,D0064,CC1004,INV-2024-000105,2024-05-18,2024-07-17,,2024-05-16,Equipment,CAPEX,16810737.53,15354249.03,-1456488.5,-8.66,Bank Transfer,Pending,FY2024,Q2,Within Budget
FIN000106,PO000106,V004,H004,D0062,CC1002,INV-2024-000106,2024-07-06,2024-08-20,2024-08-17,2024-07-04,Pharmacy,OPEX,9197.37,8559.32,-638.05,-6.94,Bank Transfer,Paid,FY2024,Q3,Within Budget
FIN000107,PO000107,V009,H001,D0004,CC1004,INV-2025-000107,2025-07-02,2025-08-16,2025-08-16,2025-06-29,Laboratory,CAPEX,74527.84,78409.45,3881.61,5.21,Bank Transfer,Paid,FY2025,Q2,Over Budget
FIN000108,PO000108,V011,H003,D0049,CC1009,INV-2025-000108,2025-11-10,2026-01-09,2026-01-05,2025-11-10,Pharmacy,OPEX,8035.35,7913.45,-121.9,-1.52,ACH,Paid,FY2025,Q4,Within Budget
FIN000109,PO000109,V001,H004,D0071,CC1011,INV-2024-000109,2024-06-04,2024-07-04,2024-06-30,2024-06-01,Equipment,CAPEX,210741.27,228151.43,17410.16,8.26,Cheque,Paid,FY2024,Q2,Over Budget
FIN000110,PO000110,V002,H001,D0007,CC1007,INV-2023-000110,2023-04-05,2023-05-20,2023-06-07,2023-04-03,Pharmacy,OPEX,69710.1,64444.9,-5265.2,-7.55,UPI,Overdue,FY2023,Q2,Within Budget
FIN000111,PO000111,V002,H002,D0026,CC1006,INV-2025-000111,2025-06-26,2025-08-10,2025-08-13,2025-06-26,Equipment,CAPEX,217973.7,199605.64,-18368.06,-8.43,Bank Transfer,Partially Paid,FY2025,Q2,Within Budget
FIN000112,PO000112,V012,H002,D0035,CC1015,INV-2023-000112,2023-08-20,2023-10-19,2023-10-18,2023-08-19,Medical Supplies,CAPEX,22514.97,24172.96,1657.99,7.36,Cheque,Paid,FY2023,Q3,Over Budget
FIN000113,PO000113,V004,H002,D0036,CC1016,INV-2023-000113,2023-03-31,2023-05-15,2023-05-14,2023-03-28,Pharmacy,CAPEX,7649.92,7370.76,-279.16,-3.65,Cheque,Paid,FY2023,Q1,Within Budget
FIN000114,PO000114,V011,H002,D0022,CC1002,INV-2025-000114,2025-12-03,2026-02-01,2026-02-11,2025-12-02,Administration,OPEX,18226.8,19936.65,1709.85,9.38,Cheque,Partially Paid,FY2025,Q4,Over Budget
