Date_Key,Date,Day,Day_Name,Week_Number,Month,Month_Name,Quarter,Year,Fiscal_Year,Fiscal_Quarter,Is_Weekend,Is_Month_Start,Day_Of_Year
20230205,2023-02-05,5,Sunday,5,2,February,1,2023,FY2023,Q1,Yes,No,36
20230206,2023-02-06,6,Monday,6,2,February,1,2023,FY2023,Q1,No,No,37
20230207,2023-02-07,7,Tuesday,6,2,February,1,2023,FY2023,Q1,No,No,38
20230208,2023-02-08,8,Wednesday,6,2,February,1,2023,FY2023,Q1,No,No,39
20230209,2023-02-09,9,Thursday,6,2,February,1,2023,FY2023,Q1,No,No,40
20230210,2023-02-10,10,Friday,6,2,February,1,2023,FY2023,Q1,No,No,41
20230211,2023-02-11,11,Saturday,6,2,February,1,2023,FY2023,Q1,Yes,No,42
20230212,2023-02-12,12,Sunday,6,2,February,1,2023,FY2023,Q1,Yes,No,43
20230213,2023-02-13,13,Monday,7,2,February,1,2023,FY2023,Q1,No,No,44
20230214,2023-02-14,14,Tuesday,7,2,February,1,2023,FY2023,Q1,No,No,45
20230215,2023-02-15,15,Wednesday,7,2,February,1,2023,FY2023,Q1,No,No,46
20230216,2023-02-16,16,Thursday,7,2,February,1,2023,FY2023,Q1,No,No,47
20230217,2023-02-17,17,Friday,7,2,February,1,2023,FY2023,Q1,No,No,48
20230218,2023-02-18,18,Saturday,7,2,February,1,2023,FY2023,Q1,Yes,No,49
20230219,2023-02-19,19,Sunday,7,2,February,1,2023,FY2023,Q1,Yes,No,50
20230220,2023-02-20,20,Monday,8,2,February,1,2023,FY2023,Q1,No,No,51
20230221,2023-02-21,21,Tuesday,8,2,February,1,2023,FY2023,Q1,No,No,52
20230222,2023-02-22,22,Wednesday,8,2,February,1,2023,FY2023,Q1,No,No,53
20230223,2023-02-23,23,Thursday,8,2,February,1,2023,FY2023,Q1,No,No,54
20230224,2023-02-24,24,Friday,8,2,February,1,2023,FY2023,Q1,No,No,55
20230225,2023-02-25,25,Saturday,8,2,February,1,2023,FY2023,Q1,Yes,No,56
20230226,2023-02-26,26,Sunday,8,2,February,1,2023,FY2023,Q1,Yes,No,57
20230227,2023-02-27,27,Monday,9,2,February,1,2023,FY2023,Q1,No,No,58
20230228,2023-02-28,28,Tuesday,9,2,February,1,2023,FY2023,Q1,No,No,59
20230301,2023-03-01,1,Wednesday,9,3,March,1,2023,FY2023,Q1,No,Yes,60
20230302,2023-03-02,2,Thursday,9,3,March,1,2023,FY2023,Q1,No,No,61
20230303,2023-03-03,3,Friday,9,3,March,1,2023,FY2023,Q1,No,No,62
20230304,2023-03-04,4,Saturday,9,3,March,1,2023,FY2023,Q1,Yes,No,63
20230305,2023-03-05,5,Sunday,9,3,March,1,2023,FY2023,Q1,Yes,No,64
20230306,2023-03-06,6,Monday,10,3,March,1,2023,FY2023,Q1,No,No,65
20230307,2023-03-07,7,Tuesday,10,3,March,1,2023,FY2023,Q1,No,No,66
20230308,2023-03-08,8,Wednesday,10,3,March,1,2023,FY2023,Q1,No,No,67
20230309,2023-03-09,9,Thursday,10,3,March,1,2023,FY2023,Q1,No,No,68
20230310,2023-03-10,10,Friday,10,3,March,1,2023,FY2023,Q1,No,No,69
20230311,2023-03-11,11,Saturday,10,3,March,1,2023,FY2023,Q1,Yes,No,70
20230312,2023-03-12,12,Sunday,10,3,March,1,2023,FY2023,Q1,Yes,No,71
20230313,2023-03-13,13,Monday,11,3,March,1,2023,FY2023,Q1,No,No,72
20230314,2023-03-14,14,Tuesday,11,3,March,1,2023,FY2023,Q1,No,No,73
20230315,2023-03-15,15,Wednesday,11,3,March,1,2023,FY2023,Q1,No,No,74
20230316,2023-03-16,16,Thursday,11,3,March,1,2023,FY2023,Q1,No,No,75
20230317,2023-03-17,17,Friday,11,3,March,1,2023,FY2023,Q1,No,No,76
20230318,2023-03-18,18,Saturday,11,3,March,1,2023,FY2023,Q1,Yes,No,77
20230319,2023-03-19,19,Sunday,11,3,March,1,2023,FY2023,Q1,Yes,No,78
20230320,2023-03-20,20,Monday,12,3,March,1,2023,FY2023,Q1,No,No,79
20230321,2023-03-21,21,Tuesday,12,3,March,1,2023,FY2023,Q1,No,No,80
20230322,2023-03-22,22,Wednesday,12,3,March,1,2023,FY2023,Q1,No,No,81
20230323,2023-03-23,23,Thursday,12,3,March,1,2023,FY2023,Q1,No,No,82
20230324,2023-03-24,24,Friday,12,3,March,1,2023,FY2023,Q1,No,No,83
20230325,2023-03-25,25,Saturday,12,3,March,1,2023,FY2023,Q1,Yes,No,84
20230326,2023-03-26,26,Sunday,12,3,March,1,2023,FY2023,Q1,Yes,No,85
20230327,2023-03-27,27,Monday,13,3,March,1,2023,FY2023,Q1,No,No,86
20230328,2023-03-28,28,Tuesday,13,3,March,1,2023,FY2023,Q1,No,No,87
20230329,2023-03-29,29,Wednesday,13,3,March,1,2023,FY2023,Q1,No,No,88
20230330,2023-03-30,30,Thursday,13,3,March,1,2023,FY2023,Q1,No,No,89
20230331,2023-03-31,31,Friday,13,3,March,1,2023,FY2023,Q1,No,No,90
20230401,2023-04-01,1,Saturday,13,4,April,2,2023,FY2023,Q2,Yes,Yes,91
20230402,2023-04-02,2,Sunday,13,4,April,2,2023,FY2023,Q2,Yes,No,92
20230403,2023-04-03,3,Monday,14,4,April,2,2023,FY2023,Q2,No,No,93
20230404,2023-04-04,4,Tuesday,14,4,April,2,2023,FY2023,Q2,No,No,94
20230405,2023-04-05,5,Wednesday,14,4,April,2,2023,FY2023,Q2,No,No,95
20230406,2023-04-06,6,Thursday,14,4,April,2,2023,FY2023,Q2,No,No,96
20230407,2023-04-07,7,Friday,14,4,April,2,2023,FY2023,Q2,No,No,97
20230408,2023-04-08,8,Saturday,14,4,April,2,2023,FY2023,Q2,Yes,No,98
20230409,2023-04-09,9,Sunday,14,4,April,2,2023,FY2023,Q2,Yes,No,99
20230410,2023-04-10,10,Monday,15,4,April,2,2023,FY2023,Q2,No,No,100
20230411,2023-04-11,11,Tuesday,15,4,April,2,2023,FY2023,Q2,No,No,101
20230412,2023-04-12,12,Wednesday,15,4,April,2,2023,FY2023,Q2,No,No,102
20230413,2023-04-13,13,Thursday,15,4,April,2,2023,FY2023,Q2,No,No,103
20230414,2023-04-14,14,Friday,15,4,April,2,2023,FY2023,Q2,No,No,104
20230415,2023-04-15,15,Saturday,15,4,April,2,2023,FY2023,Q2,Yes,No,105
20230416,2023-04-16,16,Sunday,15,4,April,2,2023,FY2023,Q2,Yes,No,106
20230417,2023-04-17,17,Monday,16,4,April,2,2023,FY2023,Q2,No,No,107
20230418,2023-04-18,18,Tuesday,16,4,April,2,2023,FY2023,Q2,No,No,108
20230419,2023-04-19,19,Wednesday,16,4,April,2,2023,FY2023,Q2,No,No,109
20230420,2023-04-20,20,Thursday,16,4,April,2,2023,FY2023,Q2,No,No,110
20230421,2023-04-21,21,Friday,16,4,April,2,2023,FY2023,Q2,No,No,111
20230422,2023-04-22,22,Saturday,16,4,April,2,2023,FY2023,Q2,Yes,No,112
20230423,2023-04-23,23,Sunday,16,4,April,2,2023,FY2023,Q2,Yes,No,113
20230424,2023-04-24,24,Monday,17,4,April,2,2023,FY2023,Q2,No,No,114
20230425,2023-04-25,25,Tuesday,17,4,April,2,2023,FY2023,Q2,No,No,115
20230426,2023-04-26,26,Wednesday,17,4,April,2,2023,FY2023,Q2,No,No,116
20230427,2023-04-27,27,Thursday,17,4,April,2,2023,FY2023,Q2,No,No,117
20230428,2023-04-28,28,Friday,17,4,April,2,2023,FY2023,Q2,No,No,118
20230429,2023-04-29,29,Saturday,17,4,April,2,2023,FY2023,Q2,Yes,No,119
20230430,2023-04-30,30,Sunday,17,4,April,2,2023,FY2023,Q2,Yes,No,120
20230501,2023-05-01,1,Monday,18,5,May,2,2023,FY2023,Q2,No,Yes,121
20230502,2023-05-02,2,Tuesday,18,5,May,2,2023,FY2023,Q2,No,No,122
20230503,2023-05-03,3,Wednesday,18,5,May,2,2023,FY2023,Q2,No,No,123
20230504,2023-05-04,4,Thursday,18,5,May,2,2023,FY2023,Q2,No,No,124
20230505,2023-05-05,5,Friday,18,5,May,2,2023,FY2023,Q2,No,No,125
20230506,2023-05-06,6,Saturday,18,5,May,2,2023,FY2023,Q2,Yes,No,126
20230507,2023-05-07,7,Sunday,18,5,May,2,2023,FY2023,Q2,Yes,No,127
20230508,2023-05-08,8,Monday,19,5,May,2,2023,FY2023,Q2,No,No,128
20230509,2023-05-09,9,Tuesday,19,5,May,2,2023,FY2023,Q2,No,No,129
20230510,2023-05-10,10,Wednesday,19,5,May,2,2023,FY2023,Q2,No,No,130
20230511,2023-05-11,11,Thursday,19,5,May,2,2023,FY2023,Q2,No,No,131
20230512,2023-05-12,12,Friday,19,5,May,2,2023,FY2023,Q2,No,No,132
20230513,2023-05-13,13,Saturday,19,5,May,2,2023,FY2023,Q2,Yes,No,133
20230514,2023-05-14,14,Sunday,19,5,May,2,2023,FY2023,Q2,Yes,No,134
20230515,2023-05-15,15,Monday,20,5,May,2,2023,FY2023,Q2,No,No,135
20230516,2023-05-16,16,Tuesday,20,5,May,2,2023,FY2023,Q2,No,No,136
20230517,2023-05-17,17,Wednesday,20,5,May,2,2023,FY2023,Q2,No,No,137
20230518,2023-05-18,18,Thursday,20,5,May,2,2023,FY2023,Q2,No,No,138
20230519,2023-05-19,19,Friday,20,5,May,2,2023,FY2023,Q2,No,No,139
20230520,2023-05-20,20,Saturday,20,5,May,2,2023,FY2023,Q2,Yes,No,140
20230521,2023-05-21,21,Sunday,20,5,May,2,2023,FY2023,Q2,Yes,No,141
20230522,2023-05-22,22,Monday,21,5,May,2,2023,FY2023,Q2,No,No,142
20230523,2023-05-23,23,Tuesday,21,5,May,2,2023,FY2023,Q2,No,No,143
20230524,2023-05-24,24,Wednesday,21,5,May,2,2023,FY2023,Q2,No,No,144
20230525,2023-05-25,25,Thursday,21,5,May,2,2023,FY2023,Q2,No,No,145
20230526,2023-05-26,26,Friday,21,5,May,2,2023,FY2023,Q2,No,No,146
20230527,2023-05-27,27,Saturday,21,5,May,2,2023,FY2023,Q2,Yes,No,147
20230528,2023-05-28,28,Sunday,21,5,May,2,2023,FY2023,Q2,Yes,No,148
20230529,2023-05-29,29,Monday,22,5,May,2,2023,FY2023,Q2,No,No,149
20230530,2023-05-30,30,Tuesday,22,5,May,2,2023,FY2023,Q2,No,No,150
20230531,2023-05-31,31,Wednesday,22,5,May,2,2023,FY2023,Q2,No,No,151
20230601,2023-06-01,1,Thursday,22,6,June,2,2023,FY2023,Q2,No,Yes,152
20230602,2023-06-02,2,Friday,22,6,June,2,2023,FY2023,Q2,No,No,153
20230603,2023-06-03,3,Saturday,22,6,June,2,2023,FY2023,Q2,Yes,No,154
20230604,2023-06-04,4,Sunday,22,6,June,2,2023,FY2023,Q2,Yes,No,155
20230605,2023-06-05,5,Monday,23,6,June,2,2023,FY2023,Q2,No,No,156
20230606,2023-06-06,6,Tuesday,23,6,June,2,2023,FY2023,Q2,No,No,157
20230607,2023-06-07,7,Wednesday,23,6,June,2,2023,FY2023,Q2,No,No,158
20230608,2023-06-08,8,Thursday,23,6,June,2,2023,FY2023,Q2,No,No,159
20230609,2023-06-09,9,Friday,23,6,June,2,2023,FY2023,Q2,No,No,160
20230610,2023-06-10,10,Saturday,23,6,June,2,2023,FY2023,Q2,Yes,No,161
20230611,2023-06-11,11,Sunday,23,6,June,2,2023,FY2023,Q2,Yes,No,162
20230612,2023-06-12,12,Monday,24,6,June,2,2023,FY2023,Q2,No,No,163
20230613,2023-06-13,13,Tuesday,24,6,June,2,2023,FY2023,Q2,No,No,164
20230614,2023-06-14,14,Wednesday,24,6,June,2,2023,FY2023,Q2,No,No,165
20230615,2023-06-15,15,Thursday,24,6,June,2,2023,FY2023,Q2,No,No,166
20230616,2023-06-16,16,Friday,24,6,June,2,2023,FY2023,Q2,No,No,167
20230617,2023-06-17,17,Saturday,24,6,June,2,2023,FY2023,Q2,Yes,No,168
20230618,2023-06-18,18,Sunday,24,6,June,2,2023,FY2023,Q2,Yes,No,169
20230619,2023-06-19,19,Monday,25,6,June,2,2023,FY2023,Q2,No,No,170
20230620,2023-06-20,20,Tuesday,25,6,June,2,2023,FY2023,Q2,No,No,171
20230621,2023-06-21,21,Wednesday,25,6,June,2,2023,FY2023,Q2,No,No,172
20230622,2023-06-22,22,Thursday,25,6,June,2,2023,FY2023,Q2,No,No,173
20230623,2023-06-23,23,Friday,25,6,June,2,2023,FY2023,Q2,No,No,174
20230624,2023-06-24,24,Saturday,25,6,June,2,2023,FY2023,Q2,Yes,No,175
20230625,2023-06-25,25,Sunday,25,6,June,2,2023,FY2023,Q2,Yes,No,176
20230626,2023-06-26,26,Monday,26,6,June,2,2023,FY2023,Q2,No,No,177
20230627,2023-06-27,27,Tuesday,26,6,June,2,2023,FY2023,Q2,No,No,178
20230628,2023-06-28,28,Wednesday,26,6,June,2,2023,FY2023,Q2,No,No,179
20230629,2023-06-29,29,Thursday,26,6,June,2,2023,FY2023,Q2,No,No,180
20230630,2023-06-30,30,Friday,26,6,June,2,2023,FY2023,Q2,No,No,181
20230701,2023-07-01,1,Saturday,26,7,July,3,2023,FY2023,Q3,Yes,Yes,182
20230702,2023-07-02,2,Sunday,26,7,July,3,2023,FY2023,Q3,Yes,No,183
20230703,2023-07-03,3,Monday,27,7,July,3,2023,FY2023,Q3,No,No,184
20230704,2023-07-04,4,Tuesday,27,7,July,3,2023,FY2023,Q3,No,No,185
20230705,2023-07-05,5,Wednesday,27,7,July,3,2023,FY2023,Q3,No,No,186
20230706,2023-07-06,6,Thursday,27,7,July,3,2023,FY2023,Q3,No,No,187
20230707,2023-07-07,7,Friday,27,7,July,3,2023,FY2023,Q3,No,No,188
20230708,2023-07-08,8,Saturday,27,7,July,3,2023,FY2023,Q3,Yes,No,189
20230709,2023-07-09,9,Sunday,27,7,July,3,2023,FY2023,Q3,Yes,No,190
20230710,2023-07-10,10,Monday,28,7,July,3,2023,FY2023,Q3,No,No,191
20230711,2023-07-11,11,Tuesday,28,7,July,3,2023,FY2023,Q3,No,No,192
20230712,2023-07-12,12,Wednesday,28,7,July,3,2023,FY2023,Q3,No,No,193
20230713,2023-07-13,13,Thursday,28,7,July,3,2023,FY2023,Q3,No,No,194
20230714,2023-07-14,14,Friday,28,7,July,3,2023,FY2023,Q3,No,No,195
20230715,2023-07-15,15,Saturday,28,7,July,3,2023,FY2023,Q3,Yes,No,196
20230716,2023-07-16,16,Sunday,28,7,July,3,2023,FY2023,Q3,Yes,No,197
20230717,2023-07-17,17,Monday,29,7,July,3,2023,FY2023,Q3,No,No,198
20230718,2023-07-18,18,Tuesday,29,7,July,3,2023,FY2023,Q3,No,No,199
20230719,2023-07-19,19,Wednesday,29,7,July,3,2023,FY2023,Q3,No,No,200
20230720,2023-07-20,20,Thursday,29,7,July,3,2023,FY2023,Q3,No,No,201
20230721,2023-07-21,21,Friday,29,7,July,3,2023,FY2023,Q3,No,No,202
20230722,2023-07-22,22,Saturday,29,7,July,3,2023,FY2023,Q3,Yes,No,203
20230723,2023-07-23,23,Sunday,29,7,July,3,2023,FY2023,Q3,Yes,No,204
20230724,2023-07-24,24,Monday,30,7,July,3,2023,FY2023,Q3,No,No,205
20230725,2023-07-25,25,Tuesday,30,7,July,3,2023,FY2023,Q3,No,No,206
20230726,2023-07-26,26,Wednesday,30,7,July,3,2023,FY2023,Q3,No,No,207
20230727,2023-07-27,27,Thursday,30,7,July,3,2023,FY2023,Q3,No,No,208
20230728,2023-07-28,28,Friday,30,7,July,3,2023,FY2023,Q3,No,No,209
20230729,2023-07-29,29,Saturday,30,7,July,3,2023,FY2023,Q3,Yes,No,210
20230730,2023-07-30,30,Sunday,30,7,July,3,2023,FY2023,Q3,Yes,No,211
20230731,2023-07-31,31,Monday,31,7,July,3,2023,FY2023,Q3,No,No,212
20230801,2023-08-01,1,Tuesday,31,8,August,3,2023,FY2023,Q3,No,Yes,213
20230802,2023-08-02,2,Wednesday,31,8,August,3,2023,FY2023,Q3,No,No,214
20230803,2023-08-03,3,Thursday,31,8,August,3,2023,FY2023,Q3,No,No,215
20230804,2023-08-04,4,Friday,31,8,August,3,2023,FY2023,Q3,No,No,216
20230805,2023-08-05,5,Saturday,31,8,August,3,2023,FY2023,Q3,Yes,No,217
20230806,2023-08-06,6,Sunday,31,8,August,3,2023,FY2023,Q3,Yes,No,218
20230807,2023-08-07,7,Monday,32,8,August,3,2023,FY2023,Q3,No,No,219
20230808,2023-08-08,8,Tuesday,32,8,August,3,2023,FY2023,Q3,No,No,220
20230809,2023-08-09,9,Wednesday,32,8,August,3,2023,FY2023,Q3,No,No,221
20230810,2023-08-10,10,Thursday,32,8,August,3,2023,FY2023,Q3,No,No,222
20230811,2023-08-11,11,Friday,32,8,August,3,2023,FY2023,Q3,No,No,223
20230812,2023-08-12,12,Saturday,32,8,August,3,2023,FY2023,Q3,Yes,No,224
20230813,2023-08-13,13,Sunday,32,8,August,3,2023,FY2023,Q3,Yes,No,225
20230814,2023-08-14,14,Monday,33,8,August,3,2023,FY2023,Q3,No,No,226
20230815,2023-08-15,15,Tuesday,33,8,August,3,2023,FY2023,Q3,No,No,227
20230816,2023-08-16,16,Wednesday,33,8,August,3,2023,FY2023,Q3,No,No,228
20230817,2023-08-17,17,Thursday,33,8,August,3,2023,FY2023,Q3,No,No,229
20230818,2023-08-18,18,Friday,33,8,August,3,2023,FY2023,Q3,No,No,230
20230819,2023-08-19,19,Saturday,33,8,August,3,2023,FY2023,Q3,Yes,No,231
20230820,2023-08-20,20,Sunday,33,8,August,3,2023,FY2023,Q3,Yes,No,232
20230821,2023-08-21,21,Monday,34,8,August,3,2023,FY2023,Q3,No,No,233
20230822,2023-08-22,22,Tuesday,34,8,August,3,2023,FY2023,Q3,No,No,234
20230823,2023-08-23,23,Wednesday,34,8,August,3,2023,FY2023,Q3,No,No,235
20230824,2023-08-24,24,Thursday,34,8,August,3,2023,FY2023,Q3,No,No,236
20230825,2023-08-25,25,Friday,34,8,August,3,2023,FY2023,Q3,No,No,237
20230826,2023-08-26,26,Saturday,34,8,August,3,2023,FY2023,Q3,Yes,No,238
20230827,2023-08-27,27,Sunday,34,8,August,3,2023,FY2023,Q3,Yes,No,239
20230828,2023-08-28,28,Monday,35,8,August,3,2023,FY2023,Q3,No,No,240
20230829,2023-08-29,29,Tuesday,35,8,August,3,2023,FY2023,Q3,No,No,241
20230830,2023-08-30,30,Wednesday,35,8,August,3,2023,FY2023,Q3,No,No,242
20230831,2023-08-31,31,Thursday,35,8,August,3,2023,FY2023,Q3,No,No,243
20230901,2023-09-01,1,Friday,35,9,September,3,2023,FY2023,Q3,No,Yes,244
20230902,2023-09-02,2,Saturday,35,9,September,3,2023,FY2023,Q3,Yes,No,245
20230903,2023-09-03,3,Sunday,35,9,September,3,2023,FY2023,Q3,Yes,No,246
20230904,2023-09-04,4,Monday,36,9,September,3,2023,FY2023,Q3,No,No,247
20230905,2023-09-05,5,Tuesday,36,9,September,3,2023,FY2023,Q3,No,No,248
20230906,2023-09-06,6,Wednesday,36,9,September,3,2023,FY2023,Q3,No,No,249
20230907,2023-09-07,7,Thursday,36,9,September,3,2023,FY2023,Q3,No,No,250
20230908,2023-09-08,8,Friday,36,9,September,3,2023,FY2023,Q3,No,No,251
20230909,2023-09-09,9,Saturday,36,9,September,3,2023,FY2023,Q3,Yes,No,252
20230910,2023-09-10,10,Sunday,36,9,September,3,2023,FY2023,Q3,Yes,No,253
20230911,2023-09-11,11,Monday,37,9,September,3,2023,FY2023,Q3,No,No,254
20230912,2023-09-12,12,Tuesday,37,9,September,3,2023,FY2023,Q3,No,No,255
20230913,2023-09-13,13,Wednesday,37,9,September,3,2023,FY2023,Q3,No,No,256
20230914,2023-09-14,14,Thursday,37,9,September,3,2023,FY2023,Q3,No,No,257
20230915,2023-09-15,15,Friday,37,9,September,3,2023,FY2023,Q3,No,No,258
20230916,2023-09-16,16,Saturday,37,9,September,3,2023,FY2023,Q3,Yes,No,259
20230917,2023-09-17,17,Sunday,37,9,September,3,2023,FY2023,Q3,Yes,No,260
20230918,2023-09-18,18,Monday,38,9,September,3,2023,FY2023,Q3,No,No,261
20230919,2023-09-19,19,Tuesday,38,9,September,3,2023,FY2023,Q3,No,No,262
20230920,2023-09-20,20,Wednesday,38,9,September,3,2023,FY2023,Q3,No,No,263
20230921,2023-09-21,21,Thursday,38,9,September,3,2023,FY2023,Q3,No,No,264
20230922,2023-09-22,22,Friday,38,9,September,3,2023,FY2023,Q3,No,No,265
20230923,2023-09-23,23,Saturday,38,9,September,3,2023,FY2023,Q3,Yes,No,266
20230924,2023-09-24,24,Sunday,38,9,September,3,2023,FY2023,Q3,Yes,No,267
20230925,2023-09-25,25,Monday,39,9,September,3,2023,FY2023,Q3,No,No,268
20230926,2023-09-26,26,Tuesday,39,9,September,3,2023,FY2023,Q3,No,No,269
20230927,2023-09-27,27,Wednesday,39,9,September,3,2023,FY2023,Q3,No,No,270
20230928,2023-09-28,28,Thursday,39,9,September,3,2023,FY2023,Q3,No,No,271
20230929,2023-09-29,29,Friday,39,9,September,3,2023,FY2023,Q3,No,No,272
20230930,2023-09-30,30,Saturday,39,9,September,3,2023,FY2023,Q3,Yes,No,273
20231001,2023-10-01,1,Sunday,39,10,October,4,2023,FY2023,Q4,Yes,Yes,274
20231002,2023-10-02,2,Monday,40,10,October,4,2023,FY2023,Q4,No,No,275
20231003,2023-10-03,3,Tuesday,40,10,October,4,2023,FY2023,Q4,No,No,276
20231004,2023-10-04,4,Wednesday,40,10,October,4,2023,FY2023,Q4,No,No,277
20231005,2023-10-05,5,Thursday,40,10,October,4,2023,FY2023,Q4,No,No,278
20231006,2023-10-06,6,Friday,40,10,October,4,2023,FY2023,Q4,No,No,279
20231007,2023-10-07,7,Saturday,40,10,October,4,2023,FY2023,Q4,Yes,No,280
20231008,2023-10-08,8,Sunday,40,10,October,4,2023,FY2023,Q4,Yes,No,281
20231009,2023-10-09,9,Monday,41,10,October,4,2023,FY2023,Q4,No,No,282
20231010,2023-10-10,10,Tuesday,41,10,October,4,2023,FY2023,Q4,No,No,283
20231011,2023-10-11,11,Wednesday,41,10,October,4,2023,FY2023,Q4,No,No,284
20231012,2023-10-12,12,Thursday,41,10,October,4,2023,FY2023,Q4,No,No,285
20231013,2023-10-13,13,Friday,41,10,October,4,2023,FY2023,Q4,No,No,286
20231014,2023-10-14,14,Saturday,41,10,October,4,2023,FY2023,Q4,Yes,No,287
20231015,2023-10-15,15,Sunday,41,10,October,4,2023,FY2023,Q4,Yes,No,288
20231016,2023-10-16,16,Monday,42,10,October,4,2023,FY2023,Q4,No,No,289
20231017,2023-10-17,17,Tuesday,42,10,October,4,2023,FY2023,Q4,No,No,290
20231018,2023-10-18,18,Wednesday,42,10,October,4,2023,FY2023,Q4,No,No,291
20231019,2023-10-19,19,Thursday,42,10,October,4,2023,FY2023,Q4,No,No,292
20231020,2023-10-20,20,Friday,42,10,October,4,2023,FY2023,Q4,No,No,293
20231021,2023-10-21,21,Saturday,42,10,October,4,2023,FY2023,Q4,Yes,No,294
20231022,2023-10-22,22,Sunday,42,10,October,4,2023,FY2023,Q4,Yes,No,295
20231023,2023-10-23,23,Monday,43,10,October,4,2023,FY2023,Q4,No,No,296
20231024,2023-10-24,24,Tuesday,43,10,October,4,2023,FY2023,Q4,No,No,297
20231025,2023-10-25,25,Wednesday,43,10,October,4,2023,FY2023,Q4,No,No,298
20231026,2023-10-26,26,Thursday,43,10,October,4,2023,FY2023,Q4,No,No,299
20231027,2023-10-27,27,Friday,43,10,October,4,2023,FY2023,Q4,No,No,300
20231028,2023-10-28,28,Saturday,43,10,October,4,2023,FY2023,Q4,Yes,No,301
20231029,2023-10-29,29,Sunday,43,10,October,4,2023,FY2023,Q4,Yes,No,302
20231030,2023-10-30,30,Monday,44,10,October,4,2023,FY2023,Q4,No,No,303
20231031,2023-10-31,31,Tuesday,44,10,October,4,2023,FY2023,Q4,No,No,304
20231101,2023-11-01,1,Wednesday,44,11,November,4,2023,FY2023,Q4,No,Yes,305
20231102,2023-11-02,2,Thursday,44,11,November,4,2023,FY2023,Q4,No,No,306
20231103,2023-11-03,3,Friday,44,11,November,4,2023,FY2023,Q4,No,No,307
20231104,2023-11-04,4,Saturday,44,11,November,4,2023,FY2023,Q4,Yes,No,308
20231105,2023-11-05,5,Sunday,44,11,November,4,2023,FY2023,Q4,Yes,No,309
