Staff_ID,Hospital_ID,Department_ID,Job_Role,Staff_Type,Years_Experience,Shift,Employment_Type,Performance_Rating,Status
S00114,H001,D0006,Administrator,Non-Clinical,15,Morning,Part-Time,3.9,Active
S00115,H001,D0006,Maintenance Engineer,Non-Clinical,8,Night,Part-Time,4.5,Active
S00116,H001,D0006,Administrator,Non-Clinical,16,Night,Full-Time,3.5,Active
S00117,H001,D0006,Doctor,Clinical,10,Morning,Part-Time,3.7,Active
S00118,H001,D0007,Doctor,Clinical,5,Morning,Full-Time,3.8,Active
S00119,H001,D0007,Nurse,Clinical,7,Morning,Part-Time,3.8,Active
S00120,H001,D0007,Administrator,Non-Clinical,15,Evening,Full-Time,3.4,Active
S00121,H001,D0007,Pharmacist,Clinical Support,13,Night,Full-Time,4.7,Active
S00122,H001,D0007,Maintenance Engineer,Non-Clinical,19,Evening,Part-Time,3.0,Active
S00123,H001,D0007,Technician,Clinical Support,10,Evening,Part-Time,4.1,Active
S00124,H001,D0007,Procurement Officer,Non-Clinical,18,Night,Full-Time,4.0,Active
S00125,H001,D0007,Technician,Clinical Support,14,Evening,Full-Time,3.8,Active
S00126,H001,D0007,Procurement Officer,Non-Clinical,13,Night,Full-Time,4.7,Active
S00127,H001,D0007,Nurse,Clinical,20,Night,Full-Time,4.8,Active
S00128,H001,D0007,Administrator,Non-Clinical,19,Night,Full-Time,3.2,Active
S00129,H001,D0007,Pharmacist,Clinical Support,5,Evening,Full-Time,3.1,Active
S00130,H001,D0007,Pharmacist,Clinical Support,11,Morning,Part-Time,3.7,Active
S00131,H001,D0007,Maintenance Engineer,Non-Clinical,13,Evening,Part-Time,3.5,Active
S00132,H001,D0007,Doctor,Clinical,16,Morning,Full-Time,5.0,Active
S00133,H001,D0007,Technician,Clinical Support,8,Night,Full-Time,4.6,Active
S00134,H001,D0007,Procurement Officer,Non-Clinical,2,Morning,Full-Time,3.4,Active
S00135,H001,D0007,Doctor,Clinical,20,Morning,Full-Time,3.3,Active
S00136,H001,D0007,Procurement Officer,Non-Clinical,4,Night,Full-Time,3.9,Active
S00137,H001,D0007,Technician,Clinical Support,12,Morning,Full-Time,4.6,Active
S00138,H001,D0007,Nurse,Clinical,10,Morning,Full-Time,4.9,Active
S00139,H001,D0007,Administrator,Non-Clinical,13,Evening,Full-Time,3.2,Active
S00140,H001,D0007,Procurement Officer,Non-Clinical,8,Morning,Part-Time,4.7,Active
S00141,H001,D0007,Administrator,Non-Clinical,4,Night,Full-Time,3.7,Active
S00142,H001,D0007,Pharmacist,Clinical Support,12,Morning,Part-Time,3.0,Active
S00143,H001,D0007,Pharmacist,Clinical Support,16,Morning,Part-Time,4.9,Active
S00144,H001,D0007,Procurement Officer,Non-Clinical,15,Night,Full-Time,3.9,Active
S00145,H001,D0007,Procurement Officer,Non-Clinical,17,Night,Part-Time,4.2,Active
S00146,H001,D0007,Administrator,Non-Clinical,16,Evening,Part-Time,4.7,Active
S00147,H001,D0008,Technician,Clinical Support,11,Morning,Full-Time,3.6,Active
S00148,H001,D0008,Pharmacist,Clinical Support,8,Evening,Part-Time,3.7,Active
S00149,H001,D0008,Pharmacist,Clinical Support,11,Morning,Part-Time,3.4,Active
S00150,H001,D0008,Maintenance Engineer,Non-Clinical,9,Evening,Part-Time,4.8,Active
S00151,H001,D0008,Procurement Officer,Non-Clinical,9,Night,Full-Time,4.0,Active
S00152,H001,D0008,Nurse,Clinical,3,Morning,Part-Time,4.0,Active
S00153,H001,D0008,Maintenance Engineer,Non-Clinical,8,Night,Part-Time,4.3,Active
S00154,H001,D0008,Pharmacist,Clinical Support,15,Morning,Full-Time,3.6,Active
S00155,H001,D0008,Pharmacist,Clinical Support,8,Evening,Part-Time,3.9,Active
S00156,H001,D0008,Administrator,Non-Clinical,12,Evening,Part-Time,3.7,Active
S00157,H001,D0008,Pharmacist,Clinical Support,9,Evening,Part-Time,3.5,Active
S00158,H001,D0008,Procurement Officer,Non-Clinical,7,Evening,Full-Time,4.5,Active
S00159,H001,D0008,Maintenance Engineer,Non-Clinical,6,Morning,Full-Time,4.5,Active
S00160,H001,D0008,Technician,Clinical Support,19,Night,Part-Time,5.0,Active
S00161,H001,D0008,Maintenance Engineer,Non-Clinical,7,Evening,Full-Time,3.7,Active
S00162,H001,D0008,Technician,Clinical Support,1,Night,Full-Time,3.5,Active
S00163,H001,D0008,Doctor,Clinical,18,Evening,Full-Time,4.3,Active
S00164,H001,D0008,Maintenance Engineer,Non-Clinical,16,Morning,Full-Time,4.1,Active
S00165,H001,D0008,Pharmacist,Clinical Support,16,Evening,Part-Time,3.4,Active
S00166,H001,D0008,Doctor,Clinical,9,Evening,Full-Time,4.6,Active
S00167,H001,D0008,Pharmacist,Clinical Support,16,Morning,Full-Time,3.3,Active
S00168,H001,D0008,Maintenance Engineer,Non-Clinical,19,Evening,Full-Time,5.0,Active
S00169,H001,D0008,Doctor,Clinical,18,Evening,Full-Time,4.6,Active
S00170,H001,D0008,Pharmacist,Clinical Support,15,Evening,Part-Time,4.7,Active
S00171,H001,D0008,Pharmacist,Clinical Support,10,Night,Full-Time,4.2,Active
S00172,H001,D0008,Procurement Officer,Non-Clinical,4,Morning,Full-Time,3.5,Active
S00173,H001,D0008,Doctor,Clinical,6,Morning,Full-Time,4.1,Active
S00174,H001,D0008,Nurse,Clinical,1,Evening,Part-Time,4.4,Active
S00175,H001,D0008,Pharmacist,Clinical Support,10,Morning,Full-Time,3.6,Active
S00176,H001,D0008,Technician,Clinical Support,15,Morning,Full-Time,4.8,Active
S00177,H001,D0009,Procurement Officer,Non-Clinical,7,Evening,Full-Time,4.1,Active
S00178,H001,D0009,Procurement Officer,Non-Clinical,5,Evening,Full-Time,3.1,Active
S00179,H001,D0009,Nurse,Clinical,10,Night,Part-Time,3.9,Active
S00180,H001,D0009,Pharmacist,Clinical Support,10,Night,Part-Time,4.9,Active
S00181,H001,D0009,Administrator,Non-Clinical,18,Evening,Part-Time,3.2,Active
S00182,H001,D0009,Doctor,Clinical,14,Night,Part-Time,4.2,Active
S00183,H001,D0009,Doctor,Clinical,3,Morning,Full-Time,5.0,Active
S00184,H001,D0009,Procurement Officer,Non-Clinical,9,Night,Full-Time,4.5,Active
S00185,H001,D0009,Nurse,Clinical,16,Night,Part-Time,4.8,Active
S00186,H001,D0009,Nurse,Clinical,19,Evening,Part-Time,4.9,Active
S00187,H001,D0009,Pharmacist,Clinical Support,12,Evening,Part-Time,3.6,Active
S00188,H001,D0009,Doctor,Clinical,6,Evening,Part-Time,4.4,Active
S00189,H001,D0009,Technician,Clinical Support,13,Night,Full-Time,3.9,Active
S00190,H001,D0009,Technician,Clinical Support,9,Evening,Full-Time,4.9,Active
S00191,H001,D0009,Pharmacist,Clinical Support,17,Morning,Part-Time,3.8,Active
S00192,H001,D0009,Nurse,Clinical,17,Evening,Part-Time,4.3,Active
S00193,H001,D0009,Maintenance Engineer,Non-Clinical,2,Morning,Part-Time,4.1,Active
S00194,H001,D0009,Technician,Clinical Support,15,Night,Part-Time,3.2,Active
S00195,H001,D0009,Procurement Officer,Non-Clinical,20,Morning,Full-Time,3.6,Active
S00196,H001,D0009,Doctor,Clinical,18,Evening,Full-Time,3.4,Active
S00197,H001,D0009,Maintenance Engineer,Non-Clinical,4,Evening,Full-Time,4.3,Active
S00198,H001,D0009,Nurse,Clinical,16,Night,Part-Time,4.0,Active
S00199,H001,D0009,Technician,Clinical Support,14,Evening,Part-Time,3.5,Active
S00200,H001,D0009,Administrator,Non-Clinical,5,Evening,Full-Time,4.8,Active
S00201,H001,D0009,Administrator,Non-Clinical,5,Morning,Part-Time,4.5,Active
S00202,H001,D0009,Maintenance Engineer,Non-Clinical,14,Evening,Part-Time,4.6,Active
S00203,H001,D0009,Technician,Clinical Support,10,Night,Part-Time,4.7,Active
S00204,H001,D0009,Pharmacist,Clinical Support,18,Evening,Part-Time,3.7,Active
S00205,H001,D0009,Maintenance Engineer,Non-Clinical,18,Evening,Part-Time,4.9,Active
S00206,H001,D0009,Maintenance Engineer,Non-Clinical,7,Night,Full-Time,4.1,Active
S00207,H001,D0010,Maintenance Engineer,Non-Clinical,14,Morning,Part-Time,4.5,Active
S00208,H001,D0010,Procurement Officer,Non-Clinical,13,Evening,Full-Time,4.0,Active
S00209,H001,D0010,Doctor,Clinical,5,Night,Part-Time,4.7,Active
S00210,H001,D0010,Maintenance Engineer,Non-Clinical,15,Morning,Part-Time,3.0,Active
S00211,H001,D0010,Nurse,Clinical,14,Night,Full-Time,3.1,Active
S00212,H001,D0010,Maintenance Engineer,Non-Clinical,9,Evening,Part-Time,4.3,Active
S00213,H001,D0010,Maintenance Engineer,Non-Clinical,11,Night,Part-Time,4.9,Active
S00214,H001,D0010,Procurement Officer,Non-Clinical,16,Night,Full-Time,4.2,Active
S00215,H001,D0010,Nurse,Clinical,10,Morning,Full-Time,3.9,Active
S00216,H001,D0010,Doctor,Clinical,4,Evening,Full-Time,4.4,Active
S00217,H001,D0010,Doctor,Clinical,2,Evening,Full-Time,3.6,Active
S00218,H001,D0010,Technician,Clinical Support,14,Morning,Full-Time,4.1,Active
S00219,H001,D0010,Administrator,Non-Clinical,6,Morning,Full-Time,3.2,Active
S00220,H001,D0010,Maintenance Engineer,Non-Clinical,13,Night,Full-Time,4.0,Active
S00221,H001,D0010,Administrator,Non-Clinical,5,Morning,Part-Time,4.3,Active
S00222,H001,D0010,Pharmacist,Clinical Support,9,Night,Full-Time,4.8,Active
S00223,H001,D0010,Pharmacist,Clinical Support,10,Night,Full-Time,3.1,Active
S00224,H001,D0010,Technician,Clinical Support,19,Evening,Part-Time,4.4,Active
S00225,H001,D0010,Pharmacist,Clinical Support,10,Morning,Part-Time,4.7,Active
S00226,H001,D0011,Nurse,Clinical,13,Night,Part-Time,4.1,Active
S00227,H001,D0011,Procurement Officer,Non-Clinical,10,Morning,Part-Time,3.5,Active
S00228,H001,D0011,Administrator,Non-Clinical,2,Night,Part-Time,4.7,Active
S00229,H001,D0011,Technician,Clinical Support,8,Night,Part-Time,3.4,Active
S00230,H001,D0011,Nurse,Clinical,20,Evening,Full-Time,4.3,Active
S00231,H001,D0011,Procurement Officer,Non-Clinical,2,Evening,Part-Time,3.1,Active
S00232,H001,D0011,Technician,Clinical Support,5,Morning,Part-Time,3.7,Active
S00233,H001,D0011,Pharmacist,Clinical Support,6,Morning,Full-Time,4.6,Active
S00234,H001,D0011,Technician,Clinical Support,17,Night,Part-Time,4.7,Active
S00235,H001,D0011,Technician,Clinical Support,16,Evening,Part-Time,4.6,Active
S00236,H001,D0011,Pharmacist,Clinical Support,3,Morning,Full-Time,4.7,Active
S00237,H001,D0011,Procurement Officer,Non-Clinical,13,Night,Part-Time,3.2,Active
S00238,H001,D0011,Pharmacist,Clinical Support,1,Evening,Full-Time,3.9,Active
S00239,H001,D0011,Procurement Officer,Non-Clinical,9,Night,Part-Time,4.6,Active
S00240,H001,D0011,Technician,Clinical Support,4,Night,Full-Time,3.9,Active
S00241,H001,D0012,Technician,Clinical Support,20,Morning,Full-Time,4.3,Active
S00242,H001,D0012,Pharmacist,Clinical Support,10,Night,Part-Time,3.2,Active
S00243,H001,D0012,Doctor,Clinical,2,Evening,Part-Time,3.2,Active
S00244,H001,D0012,Nurse,Clinical,18,Morning,Part-Time,3.9,Active
S00245,H001,D0012,Procurement Officer,Non-Clinical,18,Evening,Full-Time,4.8,Active
S00246,H001,D0012,Procurement Officer,Non-Clinical,4,Evening,Part-Time,4.9,Active
S00247,H001,D0012,Technician,Clinical Support,2,Night,Part-Time,3.4,Active
S00248,H001,D0012,Pharmacist,Clinical Support,8,Evening,Full-Time,5.0,Active
S00249,H001,D0012,Technician,Clinical Support,18,Night,Part-Time,3.1,Active
S00250,H001,D0012,Technician,Clinical Support,7,Morning,Part-Time,3.2,Active
S00251,H001,D0012,Nurse,Clinical,20,Morning,Full-Time,4.6,Active
S00252,H001,D0012,Nurse,Clinical,5,Night,Full-Time,3.1,Active
S00253,H001,D0012,Maintenance Engineer,Non-Clinical,18,Morning,Full-Time,4.6,Active
S00254,H001,D0012,Nurse,Clinical,11,Morning,Full-Time,3.6,Active
S00255,H001,D0012,Nurse,Clinical,5,Night,Part-Time,4.6,Active
S00256,H001,D0012,Doctor,Clinical,1,Morning,Full-Time,3.7,Active
S00257,H001,D0012,Maintenance Engineer,Non-Clinical,8,Night,Part-Time,3.0,Active
S00258,H001,D0012,Technician,Clinical Support,2,Morning,Part-Time,4.1,Active
S00259,H001,D0012,Procurement Officer,Non-Clinical,3,Evening,Part-Time,4.6,Active
S00260,H001,D0012,Administrator,Non-Clinical,19,Morning,Part-Time,4.0,Active
S00261,H001,D0012,Administrator,Non-Clinical,2,Night,Part-Time,3.9,Active
S00262,H001,D0012,Doctor,Clinical,2,Evening,Part-Time,3.9,Active
S00263,H001,D0012,Doctor,Clinical,16,Night,Part-Time,3.1,Active
S00264,H001,D0012,Doctor,Clinical,11,Night,Full-Time,3.1,Active
S00265,H001,D0012,Technician,Clinical Support,20,Night,Part-Time,3.8,Active
S00266,H001,D0012,Administrator,Non-Clinical,17,Evening,Part-Time,4.0,Active
S00267,H001,D0012,Pharmacist,Clinical Support,4,Night,Full-Time,4.7,Active
S00268,H001,D0012,Procurement Officer,Non-Clinical,18,Night,Full-Time,3.9,Active
S00269,H001,D0012,Nurse,Clinical,14,Evening,Part-Time,3.8,Active
S00270,H001,D0013,Technician,Clinical Support,14,Evening,Part-Time,3.7,Active
S00271,H001,D0013,Nurse,Clinical,16,Morning,Full-Time,4.7,Active
S00272,H001,D0013,Doctor,Clinical,14,Morning,Part-Time,4.6,Active
S00273,H001,D0013,Administrator,Non-Clinical,2,Night,Part-Time,4.3,Active
S00274,H001,D0013,Pharmacist,Clinical Support,12,Night,Part-Time,4.7,Active
S00275,H001,D0013,Procurement Officer,Non-Clinical,2,Evening,Part-Time,3.7,Active
S00276,H001,D0013,Administrator,Non-Clinical,17,Morning,Full-Time,4.3,Active
S00277,H001,D0013,Nurse,Clinical,4,Evening,Part-Time,3.2,Active
S00278,H001,D0013,Technician,Clinical Support,19,Morning,Part-Time,4.7,Active
S00279,H001,D0013,Maintenance Engineer,Non-Clinical,20,Night,Full-Time,4.2,Active
S00280,H001,D0013,Procurement Officer,Non-Clinical,9,Morning,Full-Time,3.5,Active
S00281,H001,D0013,Maintenance Engineer,Non-Clinical,10,Evening,Part-Time,3.0,Active
S00282,H001,D0013,Maintenance Engineer,Non-Clinical,5,Night,Part-Time,3.1,Active
S00283,H001,D0013,Procurement Officer,Non-Clinical,1,Morning,Full-Time,3.8,Active
S00284,H001,D0013,Pharmacist,Clinical Support,11,Morning,Part-Time,3.6,Active
S00285,H001,D0014,Maintenance Engineer,Non-Clinical,19,Night,Full-Time,4.8,Active
S00286,H001,D0014,Nurse,Clinical,6,Night,Full-Time,4.3,Active
S00287,H001,D0014,Technician,Clinical Support,15,Night,Part-Time,4.0,Active
S00288,H001,D0014,Pharmacist,Clinical Support,14,Evening,Full-Time,4.5,Active
S00289,H001,D0014,Doctor,Clinical,12,Evening,Full-Time,3.6,Active
S00290,H001,D0014,Procurement Officer,Non-Clinical,19,Evening,Part-Time,3.1,Active
S00291,H001,D0014,Pharmacist,Clinical Support,20,Morning,Full-Time,3.4,Active
S00292,H001,D0014,Nurse,Clinical,5,Evening,Part-Time,3.7,Active
S00293,H001,D0014,Doctor,Clinical,16,Night,Part-Time,3.4,Active
S00294,H001,D0014,Pharmacist,Clinical Support,18,Night,Full-Time,4.0,Active
S00295,H001,D0014,Maintenance Engineer,Non-Clinical,12,Morning,Part-Time,4.7,Active
S00296,H001,D0014,Doctor,Clinical,14,Morning,Part-Time,4.8,Active
S00297,H001,D0014,Maintenance Engineer,Non-Clinical,11,Night,Part-Time,4.1,Active
S00298,H001,D0014,Procurement Officer,Non-Clinical,14,Evening,Full-Time,3.8,Active
S00299,H001,D0014,Technician,Clinical Support,6,Night,Part-Time,4.7,Active
S00300,H001,D0014,Technician,Clinical Support,3,Evening,Full-Time,3.5,Active
S00301,H001,D0014,Administrator,Non-Clinical,13,Night,Full-Time,3.8,Active
S00302,H001,D0014,Technician,Clinical Support,11,Morning,Part-Time,4.6,Active
S00303,H001,D0014,Doctor,Clinical,17,Night,Full-Time,4.1,Active
S00304,H001,D0014,Nurse,Clinical,12,Evening,Full-Time,3.5,Active
S00305,H001,D0014,Nurse,Clinical,9,Morning,Full-Time,4.2,Active
S00306,H001,D0014,Maintenance Engineer,Non-Clinical,3,Morning,Part-Time,3.9,Active
S00307,H001,D0015,Maintenance Engineer,Non-Clinical,19,Evening,Part-Time,4.7,Active
S00308,H001,D0015,Procurement Officer,Non-Clinical,11,Morning,Part-Time,3.1,Active
S00309,H001,D0015,Pharmacist,Clinical Support,10,Evening,Full-Time,3.7,Active
S00310,H001,D0015,Doctor,Clinical,10,Evening,Part-Time,3.1,Active
S00311,H001,D0015,Technician,Clinical Support,10,Morning,Full-Time,4.2,Active
S00312,H001,D0015,Administrator,Non-Clinical,13,Evening,Full-Time,3.9,Active
S00313,H001,D0015,Maintenance Engineer,Non-Clinical,19,Night,Full-Time,3.6,Active
S00314,H001,D0015,Pharmacist,Clinical Support,17,Morning,Full-Time,3.9,Active
S00315,H001,D0015,Maintenance Engineer,Non-Clinical,11,Night,Full-Time,4.0,Active
S00316,H001,D0015,Nurse,Clinical,2,Morning,Part-Time,5.0,Active
S00317,H001,D0015,Administrator,Non-Clinical,17,Night,Full-Time,3.7,Active
S00318,H001,D0015,Technician,Clinical Support,13,Evening,Part-Time,4.4,Active
S00319,H001,D0015,Doctor,Clinical,11,Morning,Part-Time,3.2,Active
S00320,H001,D0015,Procurement Officer,Non-Clinical,13,Evening,Part-Time,4.4,Active
S00321,H001,D0015,Procurement Officer,Non-Clinical,20,Morning,Part-Time,3.2,Active
