Vendor_Product_ID,Vendor_ID,Product_ID,Negotiated_Unit_Cost,Minimum_Order_Quantity,Lead_Time_Days,Preferred_Supplier,Status
VP00036,V006,P0018,142309.25,1,16,No,Active
VP00037,V007,P0019,129009.25,1,30,No,Active
VP00038,V006,P0019,148863.96,1,15,Yes,Active
VP00039,V009,P0020,371.51,4,27,Yes,Active
VP00040,V004,P0021,12.15,25,12,Yes,Active
VP00041,V003,P0021,12.96,25,23,No,Active
VP00042,V004,P0022,71.95,4,18,Yes,Active
VP00043,V003,P0023,81.32,19,9,Yes,Active
VP00044,V004,P0023,79.18,16,9,No,Active
VP00045,V003,P0024,35.64,18,12,Yes,Active
VP00046,V011,P0024,33.42,28,26,No,Active
VP00047,V005,P0025,6465520.6,1,19,Yes,Active
VP00048,V006,P0025,6751520.96,1,27,No,Active
VP00049,V009,P0026,242.51,8,9,Yes,Active
VP00050,V010,P0027,14.01,1,9,Yes,Active
VP00051,V005,P0028,761586.63,1,8,Yes,Active
VP00052,V006,P0028,843058.76,1,9,No,Active
VP00053,V007,P0028,798430.22,1,15,No,Active
VP00054,V010,P0029,14.89,24,25,Yes,Active
VP00055,V007,P0030,329284.78,1,20,Yes,Active
VP00056,V005,P0030,298955.3,1,10,No,Active
VP00057,V008,P0030,322872.07,1,18,No,Active
VP00058,V001,P0031,341.23,2,28,No,Active
VP00059,V002,P0031,330.23,21,10,Yes,Active
VP00060,V010,P0032,16.28,4,14,Yes,Active
VP00061,V002,P0033,454.96,6,15,Yes,Active
VP00062,V003,P0034,17.69,28,24,Yes,Active
VP00063,V004,P0034,16.69,21,24,No,Active
VP00064,V009,P0035,351.44,16,22,Yes,Active
VP00065,V001,P0036,1120.94,1,19,Yes,Active
VP00066,V001,P0037,1630.21,24,24,No,Active
VP00067,V002,P0037,1694.15,16,11,Yes,Active
VP00068,V004,P0038,13.94,19,30,Yes,Active
VP00069,V002,P0039,514.11,19,22,No,Active
VP00070,V001,P0039,554.15,28,23,Yes,Active
VP00071,V001,P0040,1636.99,3,26,Yes,Active
VP00072,V003,P0041,106.03,29,25,Yes,Active
VP00073,V002,P0042,1554.8,14,28,Yes,Active
VP00074,V003,P0043,46.41,7,28,No,Active
VP00075,V004,P0043,44.87,8,15,Yes,Active
VP00076,V007,P0044,202920.11,1,9,No,Active
VP00077,V008,P0044,188078.27,1,26,Yes,Active
VP00078,V002,P0045,374.69,17,15,Yes,Active
VP00079,V001,P0045,350.22,12,9,No,Active
VP00080,V006,P0046,1475081.81,1,24,Yes,Active
VP00081,V001,P0047,67.58,18,16,Yes,Active
VP00082,V007,P0047,70.39,4,11,No,Active
VP00083,V002,P0048,462.61,5,15,Yes,Active
VP00084,V001,P0048,429.36,7,29,No,Active
VP00085,V009,P0049,348.3,9,8,Yes,Active
VP00086,V009,P0050,251.12,2,7,Yes,Active
VP00087,V005,P0051,997169.4,1,21,No,Active
VP00088,V006,P0051,1063912.3,1,20,Yes,Active
VP00089,V009,P0052,237.49,29,29,Yes,Active
VP00090,V005,P0053,18867694.61,1,25,Yes,Active
VP00091,V004,P0054,5.4,10,18,No,Active
VP00092,V003,P0054,6.12,26,8,Yes,Active
VP00093,V003,P0055,38.25,12,24,Yes,Active
VP00094,V004,P0055,39.56,14,26,No,Active
VP00095,V010,P0056,4.94,26,12,Yes,Active
VP00096,V010,P0057,17.49,11,20,Yes,Active
VP00097,V002,P0058,473.54,26,29,Yes,Active
VP00098,V001,P0058,460.87,28,8,No,Active
VP00099,V006,P0059,144157.5,1,21,Yes,Active
VP00100,V007,P0059,133775.18,1,14,No,Active
VP00101,V002,P0060,814.72,9,9,Yes,Active
VP00102,V008,P0061,206668.59,1,24,No,Active
VP00103,V006,P0061,195323.7,1,7,Yes,Active
VP00104,V010,P0062,15.86,9,8,Yes,Active
VP00105,V001,P0063,547.09,26,17,Yes,Active
VP00106,V009,P0064,532.78,19,13,Yes,Active
VP00107,V008,P0065,294958.42,1,24,No,Active
VP00108,V007,P0065,330611.68,1,30,Yes,Active
VP00109,V001,P0066,385.3,3,28,Yes,Active
VP00110,V002,P0066,420.86,20,17,No,Active
VP00111,V009,P0067,383.3,22,20,Yes,Active
VP00112,V010,P0068,7.11,7,20,Yes,Active
VP00113,V006,P0069,16574921.51,1,12,No,Active
VP00114,V005,P0069,16232251.47,1,16,No,Active
VP00115,V007,P0069,15691089.36,1,7,Yes,Active
VP00116,V010,P0070,21.35,19,26,Yes,Active
VP00117,V008,P0071,1066271.15,1,28,No,Active
VP00118,V006,P0071,1026457.46,1,22,Yes,Active
VP00119,V007,P0071,1127706.26,1,30,No,Active
VP00120,V008,P0072,4515489.92,1,28,Yes,Active
VP00121,V002,P0073,481.92,25,14,No,Active
VP00122,V001,P0073,530.39,8,13,Yes,Active
VP00123,V003,P0074,13.5,16,26,Yes,Active
VP00124,V002,P0075,417.0,19,13,Yes,Active
VP00125,V007,P0076,1005324.05,1,14,No,Active
VP00126,V006,P0076,948734.25,1,29,Yes,Active
VP00127,V008,P0076,925559.17,1,10,No,Active
VP00128,V006,P0077,131377.13,1,29,Yes,Active
VP00129,V007,P0077,125567.34,1,8,No,Active
VP00130,V007,P0078,697324.07,1,21,Yes,Active
VP00131,V005,P0078,721366.72,1,24,No,Active
VP00132,V006,P0078,713152.81,1,21,No,Active
VP00133,V007,P0079,1090663.02,1,24,No,Active
VP00134,V008,P0079,1094094.78,1,12,No,Active
VP00135,V006,P0079,1147387.79,1,22,Yes,Active
VP00136,V003,P0080,60.46,9,23,Yes,Active
VP00137,V004,P0080,57.16,8,15,No,Active
VP00138,V010,P0081,12.35,11,17,Yes,Active
VP00139,V007,P0082,116684.37,1,19,Yes,Active
VP00140,V008,P0082,127577.97,1,29,No,Active
VP00141,V005,P0082,117950.44,1,20,No,Active
VP00142,V007,P0083,124827.91,1,13,No,Active
VP00143,V008,P0083,133388.26,1,19,Yes,Active
VP00144,V009,P0084,200.65,25,25,Yes,Active
VP00145,V003,P0085,7.08,10,19,Yes,Active
VP00146,V004,P0085,6.98,27,20,No,Active
VP00147,V012,P0086,266.01,9,20,Yes,Active
VP00148,V011,P0086,265.9,13,17,No,Active
VP00149,V003,P0087,66.25,27,21,No,Active
VP00150,V004,P0087,68.28,20,24,Yes,Active
VP00151,V008,P0088,884116.1,1,20,Yes,Active
VP00152,V004,P0089,8.39,13,17,Yes,Active
VP00153,V005,P0090,987330.06,1,19,Yes,Active
VP00154,V006,P0091,174233.87,1,9,No,Active
VP00155,V007,P0091,180652.1,1,30,Yes,Active
VP00156,V008,P0092,1545480.99,1,9,No,Active
VP00157,V006,P0092,1691613.39,1,27,Yes,Active
VP00158,V005,P0092,1497217.83,1,7,No,Active
VP00159,V001,P0093,833.85,8,11,Yes,Active
VP00160,V004,P0094,93.89,7,21,Yes,Active
VP00161,V003,P0094,95.93,25,18,No,Active
VP00162,V008,P0095,149209.8,1,12,Yes,Active
VP00163,V008,P0096,196947.49,1,25,Yes,Active
VP00164,V005,P0096,189436.35,1,19,No,Active
VP00165,V002,P0097,602.8,23,27,Yes,Active
VP00166,V001,P0097,620.31,23,16,No,Active
VP00167,V004,P0098,111.55,19,8,Yes,Active
VP00168,V003,P0098,103.8,14,28,No,Active
VP00169,V008,P0099,15200778.78,1,20,No,Active
VP00170,V007,P0099,17367895.69,1,10,Yes,Active
VP00171,V010,P0100,7.1,14,12,Yes,Active
VP00172,V005,P0101,296659.89,1,24,No,Active
VP00173,V006,P0101,321872.75,1,21,No,Active
VP00174,V008,P0101,304929.55,1,30,Yes,Active
VP00175,V002,P0102,271.89,27,9,No,Active
VP00176,V001,P0102,248.0,15,14,Yes,Active
VP00177,V004,P0103,39.65,16,17,No,Active
VP00178,V003,P0103,38.63,7,18,Yes,Active
VP00179,V003,P0104,81.01,23,15,No,Active
VP00180,V004,P0104,76.99,17,13,Yes,Active
VP00181,V008,P0105,1268415.26,1,14,Yes,Active
VP00182,V009,P0106,145.08,1,9,Yes,Active
VP00183,V001,P0107,635.72,10,28,No,Active
VP00184,V002,P0107,624.7,16,24,Yes,Active
VP00185,V003,P0108,76.04,18,17,No,Active
VP00186,V004,P0108,68.68,15,15,Yes,Active
VP00187,V006,P0109,235252.2,1,13,Yes,Active
VP00188,V007,P0109,243174.48,1,30,No,Active
VP00189,V008,P0110,790098.77,1,13,No,Active
VP00190,V006,P0110,864824.96,1,15,No,Active
VP00191,V005,P0110,862932.06,1,23,Yes,Active
VP00192,V004,P0111,7.78,10,14,Yes,Active
VP00193,V003,P0111,7.21,10,7,No,Active
VP00194,V002,P0112,640.28,2,24,Yes,Active
VP00195,V001,P0112,642.2,5,27,No,Active
VP00196,V003,P0113,252.71,16,22,Yes,Active
VP00197,V009,P0113,247.3,6,8,No,Active
VP00198,V001,P0114,1426.13,13,22,Yes,Active
VP00199,V002,P0114,1261.73,21,28,No,Active
VP00200,V003,P0115,85.41,10,9,Yes,Active
VP00201,V002,P0116,331.59,26,26,Yes,Active
VP00202,V004,P0117,17.83,15,16,Yes,Active
VP00203,V003,P0118,53.71,2,26,No,Active
VP00204,V004,P0118,57.09,4,13,Yes,Active
VP00205,V005,P0119,132199.74,1,12,No,Active
VP00206,V006,P0119,123412.4,1,24,Yes,Active
VP00207,V008,P0119,119969.03,1,7,No,Active
VP00208,V011,P0120,25.08,8,16,No,Active
VP00209,V006,P0120,26.83,23,21,Yes,Active
VP00210,V010,P0121,6.72,26,27,Yes,Active
VP00211,V007,P0122,114380.03,1,24,Yes,Active
VP00212,V005,P0122,110618.64,1,11,No,Active
VP00213,V008,P0122,123453.98,1,11,No,Active
VP00214,V003,P0123,24.29,20,30,Yes,Active
VP00215,V005,P0124,256940.28,1,29,No,Active
VP00216,V007,P0124,264915.01,1,19,Yes,Active
VP00217,V008,P0124,293248.23,1,23,No,Active
VP00218,V003,P0125,84.42,2,20,No,Active
VP00219,V004,P0125,94.03,20,15,Yes,Active
VP00220,V008,P0126,42.65,27,25,Yes,Active
VP00221,V008,P0127,17054650.07,1,25,No,Active
VP00222,V007,P0127,15001207.68,1,12,No,Active
VP00223,V005,P0127,16132217.29,1,27,Yes,Active
VP00224,V006,P0128,16961732.74,1,20,Yes,Active
VP00225,V007,P0128,16039879.28,1,22,No,Active
VP00226,V003,P0129,27.29,11,28,Yes,Active
VP00227,V006,P0130,35.06,16,16,Yes,Active
VP00228,V005,P0131,484227.91,1,9,No,Active
VP00229,V008,P0131,507815.43,1,17,No,Active
VP00230,V007,P0131,490954.24,1,19,Yes,Active
VP00231,V008,P0132,1357727.2,1,21,No,Active
VP00232,V006,P0132,1262977.63,1,13,No,Active
VP00233,V007,P0132,1284829.08,1,26,Yes,Active
VP00234,V002,P0133,509.44,7,15,No,Active
VP00235,V001,P0133,492.74,30,16,Yes,Active
VP00236,V002,P0134,1266.98,21,26,No,Active
VP00237,V001,P0134,1415.37,23,12,Yes,Active
VP00238,V009,P0135,171.18,3,14,Yes,Active
VP00239,V003,P0136,60.99,5,22,Yes,Active
VP00240,V001,P0137,1166.87,16,22,No,Active
VP00241,V002,P0137,1133.92,18,11,Yes,Active
VP00242,V010,P0138,55.62,9,20,Yes,Active
VP00243,V005,P0138,51.16,26,23,No,Active
VP00244,V004,P0139,8.45,27,25,No,Active
VP00245,V003,P0139,8.25,22,22,Yes,Active
VP00246,V002,P0140,232.75,18,24,Yes,Active
VP00247,V004,P0141,21.05,23,14,No,Active
VP00248,V001,P0141,20.09,8,20,Yes,Active
VP00249,V003,P0142,92.43,26,19,Yes,Active
VP00250,V008,P0143,194490.0,1,8,Yes,Active
VP00251,V007,P0143,182840.72,1,25,No,Active
VP00252,V003,P0144,102.28,30,21,No,Active
VP00253,V004,P0144,100.78,5,20,Yes,Active
VP00254,V007,P0145,85598.4,1,15,Yes,Active
VP00255,V008,P0145,83771.96,1,29,No,Active
VP00256,V005,P0145,84593.91,1,9,No,Active
VP00257,V004,P0146,70.46,21,29,No,Active
VP00258,V003,P0146,69.75,16,24,Yes,Active
VP00259,V001,P0147,833.64,22,16,Yes,Active
VP00260,V007,P0148,15834134.75,1,10,Yes,Active
VP00261,V001,P0149,1377.89,23,16,Yes,Active
VP00262,V002,P0149,1481.56,2,17,No,Active
VP00263,V007,P0150,113923.42,1,11,Yes,Active
VP00264,V008,P0151,41.42,26,12,Yes,Active
VP00265,V004,P0152,10.02,13,26,Yes,Active
VP00266,V004,P0153,16.05,5,14,No,Active
VP00267,V003,P0153,14.95,9,21,Yes,Active
VP00268,V011,P0154,52.13,15,16,Yes,Active
VP00269,V012,P0154,50.37,6,9,No,Active
VP00270,V001,P0155,1128.29,14,29,No,Active
VP00271,V002,P0155,1058.72,28,16,Yes,Active
VP00272,V009,P0156,237.13,13,25,Yes,Active
VP00273,V002,P0157,716.55,10,7,No,Active
VP00274,V001,P0157,714.97,22,19,Yes,Active
VP00275,V003,P0158,77.21,24,22,Yes,Active
VP00276,V004,P0158,76.3,29,16,No,Active
VP00277,V003,P0159,58.61,7,26,Yes,Active
VP00278,V008,P0160,311680.89,1,27,Yes,Active
VP00279,V007,P0160,312576.71,1,16,No,Active
VP00280,V004,P0161,60.63,3,16,No,Active
VP00281,V003,P0161,56.79,14,12,Yes,Active
VP00282,V005,P0162,15143656.5,1,15,Yes,Active
VP00283,V005,P0163,87893.94,1,16,Yes,Active
VP00284,V001,P0164,512.51,3,11,Yes,Active
VP00285,V002,P0164,536.38,8,28,No,Active
VP00286,V004,P0165,98.63,26,24,No,Active
VP00287,V003,P0165,89.69,26,19,Yes,Active
VP00288,V003,P0166,34.94,22,30,Yes,Active
VP00289,V010,P0167,24.83,12,10,No,Active
VP00290,V006,P0167,24.27,16,7,Yes,Active
VP00291,V008,P0168,776041.08,1,14,No,Active
VP00292,V005,P0168,744489.31,1,27,Yes,Active
VP00293,V006,P0168,765264.51,1,29,No,Active
VP00294,V008,P0169,131953.11,1,8,No,Active
VP00295,V007,P0169,150880.99,1,16,Yes,Active
VP00296,V002,P0170,862.82,18,11,Yes,Active
VP00297,V001,P0170,885.32,12,28,No,Active
VP00298,V004,P0171,8.33,24,11,No,Active
VP00299,V003,P0171,8.73,21,10,Yes,Active
VP00300,V005,P0172,213225.91,1,15,No,Active
VP00301,V007,P0172,183970.29,1,18,Yes,Active
VP00302,V008,P0173,180804.17,1,18,Yes,Active
VP00303,V004,P0174,80.07,21,18,Yes,Active
VP00304,V006,P0175,1043618.1,1,10,Yes,Active
VP00305,V003,P0176,105.73,20,7,Yes,Active
VP00306,V004,P0176,95.83,11,14,No,Active
VP00307,V005,P0177,131979.25,1,24,Yes,Active
VP00308,V002,P0178,263.36,8,17,Yes,Active
VP00309,V002,P0179,300.08,5,11,Yes,Active
VP00310,V009,P0180,172.49,28,7,Yes,Active
VP00311,V006,P0181,21.38,8,25,Yes,Active
VP00312,V009,P0182,149.31,5,30,Yes,Active
VP00313,V001,P0183,598.99,16,21,Yes,Active
VP00314,V002,P0183,602.01,17,25,No,Active
VP00315,V004,P0184,81.59,2,30,Yes,Active
VP00316,V001,P0185,799.6,1,8,No,Active
VP00317,V002,P0185,870.17,28,19,Yes,Active
VP00318,V004,P0186,62.27,30,21,Yes,Active
VP00319,V003,P0186,58.06,3,17,No,Active
VP00320,V004,P0187,104.02,20,27,Yes,Active
VP00321,V003,P0187,112.26,23,17,No,Active
VP00322,V010,P0188,20.82,20,20,Yes,Active
VP00323,V008,P0189,803043.44,1,27,Yes,Active
VP00324,V002,P0190,31.99,29,14,Yes,Active
VP00325,V008,P0190,31.9,27,21,No,Active
VP00326,V005,P0191,51.19,11,28,Yes,Active
VP00327,V006,P0191,50.69,5,28,No,Active
VP00328,V010,P0192,41.51,3,20,Yes,Active
VP00329,V009,P0192,36.81,24,18,No,Active
VP00330,V002,P0193,607.72,18,24,Yes,Active
VP00331,V008,P0194,150926.49,1,28,Yes,Active
VP00332,V006,P0194,164096.35,1,20,No,Active
VP00333,V001,P0195,944.97,12,10,No,Active
VP00334,V002,P0195,941.58,7,11,Yes,Active
VP00335,V003,P0196,46.81,12,24,Yes,Active
VP00336,V004,P0196,43.36,25,15,No,Active
VP00337,V007,P0197,12147612.44,1,26,No,Active
VP00338,V005,P0197,11715603.24,1,27,Yes,Active
VP00339,V008,P0197,11609581.97,1,26,No,Active
VP00340,V007,P0198,128916.03,1,15,No,Active
VP00341,V006,P0198,144165.75,1,16,Yes,Active
VP00342,V008,P0198,149119.0,1,18,No,Active
VP00343,V006,P0199,6727649.34,1,19,Yes,Active
VP00344,V004,P0200,18.5,17,13,Yes,Active
VP00345,V005,P0201,58.6,12,16,No,Active
VP00346,V008,P0201,62.31,25,25,Yes,Active
VP00347,V011,P0202,68.38,25,26,Yes,Active
VP00348,V009,P0202,67.14,3,15,No,Active
VP00349,V003,P0203,28.73,15,20,No,Active
VP00350,V004,P0203,27.74,25,23,Yes,Active
VP00351,V002,P0204,53.86,22,28,Yes,Active
VP00352,V002,P0205,274.88,13,26,No,Active
VP00353,V001,P0205,275.33,7,16,Yes,Active
VP00354,V003,P0206,10.1,4,7,Yes,Active
VP00355,V008,P0207,177045.22,1,19,No,Active
VP00356,V007,P0207,187860.23,1,14,Yes,Active
VP00357,V001,P0208,731.05,28,30,No,Active
VP00358,V002,P0208,727.26,1,21,Yes,Active
VP00359,V005,P0209,1586872.28,1,29,Yes,Active
VP00360,V004,P0210,13.93,1,17,No,Active
VP00361,V003,P0210,14.07,20,21,Yes,Active
VP00362,V008,P0211,162084.06,1,10,Yes,Active
VP00363,V005,P0211,156948.17,1,25,No,Active
VP00364,V007,P0211,161121.08,1,9,No,Active
VP00365,V001,P0212,430.82,25,12,No,Active
VP00366,V002,P0212,420.2,21,10,Yes,Active
VP00367,V004,P0213,54.82,12,18,Yes,Active
VP00368,V003,P0213,53.33,27,27,No,Active
VP00369,V004,P0214,7.92,7,12,Yes,Active
VP00370,V003,P0215,16.53,25,27,Yes,Active
VP00371,V004,P0215,17.43,25,25,No,Active
VP00372,V009,P0216,426.43,21,17,Yes,Active
VP00373,V001,P0217,1173.61,21,16,Yes,Active
VP00374,V007,P0218,277521.72,1,9,Yes,Active
VP00375,V005,P0218,275606.55,1,21,No,Active
VP00376,V001,P0219,249.21,3,27,Yes,Active
VP00377,V007,P0220,7853699.02,1,24,Yes,Active
VP00378,V003,P0221,16.53,19,27,No,Active
VP00379,V004,P0221,14.72,20,22,Yes,Active
VP00380,V006,P0222,269000.7,1,17,Yes,Active
VP00381,V005,P0222,292389.11,1,9,No,Active
VP00382,V008,P0222,271376.46,1,12,No,Active
VP00383,V001,P0223,1447.59,17,23,Yes,Active
VP00384,V003,P0224,6.71,10,19,No,Active
VP00385,V004,P0224,6.75,11,28,Yes,Active
VP00386,V003,P0225,77.36,4,24,No,Active
VP00387,V004,P0225,85.63,10,15,Yes,Active
VP00388,V007,P0226,243318.83,1,17,No,Active
VP00389,V005,P0226,213860.72,1,28,No,Active
VP00390,V008,P0226,216090.29,1,18,Yes,Active
VP00391,V004,P0227,24.32,23,9,No,Active
VP00392,V003,P0227,25.08,13,27,Yes,Active
VP00393,V004,P0228,61.44,14,23,Yes,Active
VP00394,V003,P0228,58.67,12,16,No,Active
VP00395,V004,P0229,84.68,16,13,Yes,Active
VP00396,V003,P0230,39.94,28,10,Yes,Active
VP00397,V001,P0231,410.93,29,26,Yes,Active
VP00398,V002,P0231,376.46,13,11,No,Active
VP00399,V006,P0232,170440.95,1,8,Yes,Active
VP00400,V006,P0233,797142.23,1,26,Yes,Active
VP00401,V005,P0233,714901.28,1,30,No,Active
VP00402,V007,P0234,222726.76,1,22,Yes,Active
VP00403,V005,P0234,244883.64,1,13,No,Active
VP00404,V008,P0235,211501.73,1,16,No,Active
VP00405,V006,P0235,222422.86,1,23,Yes,Active
VP00406,V003,P0236,5.46,26,26,Yes,Active
VP00407,V004,P0236,4.88,9,8,No,Active
VP00408,V001,P0237,368.41,4,29,No,Active
VP00409,V002,P0237,385.66,28,10,Yes,Active
VP00410,V006,P0238,1448603.09,1,23,Yes,Active
VP00411,V005,P0238,1418008.28,1,20,No,Active
VP00412,V003,P0239,100.23,30,7,Yes,Active
VP00413,V008,P0240,14476882.55,1,14,No,Active
VP00414,V005,P0240,14205022.41,1,9,Yes,Active
VP00415,V002,P0241,434.85,4,29,Yes,Active
VP00416,V001,P0241,458.92,26,11,No,Active
VP00417,V003,P0242,42.53,16,29,Yes,Active
VP00418,V007,P0243,253184.52,1,7,Yes,Active
VP00419,V003,P0244,40.79,5,24,Yes,Active
VP00420,V006,P0245,82904.61,1,16,No,Active
VP00421,V008,P0245,80377.76,1,10,No,Active
VP00422,V007,P0245,77792.7,1,20,Yes,Active
VP00423,V001,P0246,43.62,27,22,No,Active
VP00424,V002,P0246,47.69,1,27,Yes,Active
VP00425,V008,P0247,268124.6,1,16,Yes,Active
VP00426,V006,P0247,255976.23,1,26,No,Active
VP00427,V005,P0247,252767.12,1,25,No,Active
VP00428,V001,P0248,32.49,12,9,Yes,Active
VP00429,V004,P0248,34.75,18,23,No,Active
VP00430,V004,P0249,10.19,16,8,Yes,Active
VP00431,V003,P0249,10.6,12,15,No,Active
VP00432,V003,P0250,42.06,12,14,No,Active
VP00433,V004,P0250,41.7,21,10,Yes,Active
VP00434,V006,P0251,284820.02,1,18,No,Active
VP00435,V007,P0251,305081.47,1,27,Yes,Active
VP00436,V005,P0251,286866.75,1,28,No,Active
VP00437,V010,P0252,6.43,26,11,Yes,Active
VP00438,V001,P0253,222.13,7,8,Yes,Active
VP00439,V002,P0254,1359.14,17,19,Yes,Active
VP00440,V001,P0255,407.35,21,13,No,Active
VP00441,V002,P0255,425.17,28,8,Yes,Active
VP00442,V001,P0256,789.44,12,20,No,Active
VP00443,V002,P0256,893.72,24,21,Yes,Active
VP00444,V002,P0257,734.22,16,18,Yes,Active
VP00445,V001,P0257,785.22,17,15,No,Active
VP00446,V001,P0258,520.4,20,12,Yes,Active
VP00447,V012,P0259,221.66,11,28,No,Active
VP00448,V002,P0259,229.08,15,26,Yes,Active
VP00449,V007,P0260,10552249.87,1,18,Yes,Active
VP00450,V005,P0260,10149453.62,1,30,No,Active
VP00451,V006,P0260,10851518.26,1,18,No,Active
VP00452,V002,P0261,584.13,26,8,No,Active
VP00453,V001,P0261,531.85,21,19,Yes,Active
VP00454,V001,P0262,495.78,5,26,Yes,Active
VP00455,V002,P0262,475.21,15,8,No,Active
VP00456,V006,P0263,245.47,12,18,Yes,Active
VP00457,V010,P0264,18.96,22,21,Yes,Active
VP00458,V001,P0265,1147.56,19,11,No,Active
VP00459,V002,P0265,1105.86,13,17,Yes,Active
VP00460,V009,P0266,286.1,1,30,Yes,Active
VP00461,V004,P0267,44.95,4,15,Yes,Active
VP00462,V006,P0268,97384.35,1,26,No,Active
VP00463,V007,P0268,98560.11,1,22,Yes,Active
VP00464,V008,P0269,155584.21,1,21,Yes,Active
VP00465,V009,P0270,518.33,26,28,Yes,Active
VP00466,V001,P0271,829.34,18,24,No,Active
VP00467,V002,P0271,774.82,10,12,Yes,Active
VP00468,V001,P0272,1552.7,17,14,Yes,Active
VP00469,V002,P0272,1391.11,7,11,No,Active
VP00470,V002,P0273,274.37,19,18,Yes,Active
VP00471,V002,P0274,636.68,3,9,Yes,Active
VP00472,V001,P0274,605.99,23,30,No,Active
VP00473,V002,P0275,703.31,27,25,No,Active
VP00474,V001,P0275,627.32,11,27,Yes,Active
VP00475,V006,P0276,122752.86,1,18,Yes,Active
VP00476,V009,P0277,457.96,5,20,Yes,Active
VP00477,V008,P0278,15161369.91,1,16,Yes,Active
VP00478,V005,P0278,14294933.13,1,17,No,Active
VP00479,V007,P0278,16182712.54,1,14,No,Active
VP00480,V008,P0279,8914013.21,1,15,No,Active
VP00481,V005,P0279,8024840.53,1,24,Yes,Active
VP00482,V004,P0280,75.54,3,23,No,Active
VP00483,V003,P0280,75.86,19,25,Yes,Active
VP00484,V004,P0281,87.16,19,8,Yes,Active
VP00485,V001,P0282,396.39,25,25,Yes,Active
VP00486,V003,P0283,91.07,14,26,Yes,Active
VP00487,V004,P0283,89.26,16,27,No,Active
VP00488,V002,P0284,1446.64,26,28,No,Active
VP00489,V001,P0284,1428.56,15,9,Yes,Active
VP00490,V010,P0285,12.88,16,21,Yes,Active
VP00491,V010,P0286,63.39,23,17,Yes,Active
VP00492,V003,P0287,11.88,12,23,No,Active
VP00493,V004,P0287,12.76,11,14,Yes,Active
VP00494,V007,P0288,109274.41,1,11,No,Active
VP00495,V006,P0288,102971.49,1,16,Yes,Active
VP00496,V003,P0289,93.68,28,12,No,Active
VP00497,V004,P0289,102.64,30,25,Yes,Active
VP00498,V010,P0290,16.13,16,23,Yes,Active
VP00499,V004,P0291,26.78,3,19,No,Active
VP00500,V003,P0291,26.81,8,13,Yes,Active
VP00501,V003,P0292,15.81,16,26,Yes,Active
VP00502,V004,P0292,18.1,21,28,No,Active
VP00503,V008,P0293,14457426.38,1,20,Yes,Active
VP00504,V006,P0293,12874400.23,1,15,No,Active
VP00505,V001,P0294,528.06,13,8,No,Active
VP00506,V002,P0294,545.95,7,18,Yes,Active
VP00507,V004,P0295,11.81,15,24,Yes,Active
VP00508,V003,P0295,11.6,20,28,No,Active
VP00509,V007,P0296,6979715.55,1,19,Yes,Active
VP00510,V005,P0296,6347204.12,1,17,No,Active
VP00511,V008,P0296,6541232.72,1,18,No,Active
VP00512,V010,P0297,13.41,2,8,Yes,Active
VP00513,V001,P0298,84.76,17,21,Yes,Active
VP00514,V002,P0299,734.05,20,17,Yes,Active
VP00515,V001,P0300,308.08,17,23,Yes,Active
VP00516,V008,P0301,10892109.79,1,22,No,Active
VP00517,V006,P0301,11334160.16,1,18,No,Active
VP00518,V007,P0301,10487021.42,1,10,Yes,Active
