PO_Line_ID,PO_ID,Product_ID,Quantity,Unit_Cost,Line_Total
POL0000170,PO000028,P0210,20,14.07,281.4
POL0000171,PO000028,P0495,98,68.1,6673.8
POL0000172,PO000029,P0149,2,1481.56,2963.12
POL0000173,PO000029,P0313,32,250.54,8017.28
POL0000174,PO000029,P0178,31,263.36,8164.16
POL0000175,PO000029,P0204,61,53.86,3285.46
POL0000176,PO000029,P0231,28,376.46,10540.88
POL0000177,PO000030,P0202,97,68.38,6632.86
POL0000178,PO000030,P0120,13,25.08,326.04
POL0000179,PO000030,P0326,20,55.97,1119.4
POL0000180,PO000031,P0327,16,17.15,274.4
POL0000181,PO000031,P0180,125,172.49,21561.25
POL0000182,PO000031,P0319,23,68.47,1574.81
POL0000183,PO000031,P0351,9,128.03,1152.27
POL0000184,PO000031,P0454,10,518.59,5185.9
POL0000185,PO000031,P0270,110,518.33,57016.3
POL0000186,PO000031,P0413,40,347.0,13880.0
POL0000187,PO000031,P0277,22,457.96,10075.12
POL0000188,PO000032,P0167,45,24.83,1117.35
POL0000189,PO000032,P0032,17,16.28,276.76
POL0000190,PO000032,P0081,24,12.35,296.4
POL0000191,PO000032,P0286,92,63.39,5831.88
POL0000192,PO000033,P0265,58,1105.86,64139.88
POL0000193,PO000033,P0261,65,584.13,37968.45
POL0000194,PO000033,P0311,70,191.03,13372.1
POL0000195,PO000033,P0170,65,862.82,56083.3
POL0000196,PO000033,P0498,83,829.06,68811.98
POL0000197,PO000033,P0204,88,53.86,4739.68
POL0000198,PO000033,P0316,19,366.47,6962.93
POL0000199,PO000033,P0237,43,385.66,16583.38
POL0000200,PO000034,P0096,1,196947.49,196947.49
POL0000201,PO000034,P0485,1,129224.23,129224.23
POL0000202,PO000034,P0339,1,96163.98,96163.98
POL0000203,PO000034,P0405,1,16849942.03,16849942.03
POL0000204,PO000035,P0400,14,100.44,1406.16
POL0000205,PO000035,P0478,97,41.59,4034.23
POL0000206,PO000035,P0455,50,61.74,3087.0
POL0000207,PO000036,P0212,49,420.2,20589.8
POL0000208,PO000036,P0309,7,750.41,5252.87
POL0000209,PO000036,P0002,12,1400.87,16810.44
POL0000210,PO000036,P0458,100,566.79,56679.0
POL0000211,PO000037,P0256,32,893.72,28599.04
POL0000212,PO000037,P0327,26,17.08,444.08
POL0000213,PO000037,P0426,69,709.42,48949.98
POL0000214,PO000038,P0227,53,24.32,1288.96
POL0000215,PO000038,P0451,25,39.26,981.5
POL0000216,PO000038,P0200,79,18.5,1461.5
POL0000217,PO000039,P0077,1,125567.34,125567.34
POL0000218,PO000039,P0197,1,12147612.44,12147612.44
POL0000219,PO000039,P0375,1,765353.58,765353.58
POL0000220,PO000039,P0099,1,17367895.69,17367895.69
POL0000221,PO000040,P0354,1,642479.54,642479.54
POL0000222,PO000040,P0059,1,133775.18,133775.18
POL0000223,PO000040,P0243,1,253184.52,253184.52
POL0000224,PO000040,P0490,1,303361.7,303361.7
POL0000225,PO000041,P0218,1,277521.72,277521.72
POL0000226,PO000041,P0340,1,171341.58,171341.58
POL0000227,PO000041,P0430,1,18504024.99,18504024.99
POL0000228,PO000041,P0071,1,1127706.26,1127706.26
POL0000229,PO000041,P0439,1,185518.98,185518.98
POL0000230,PO000041,P0339,1,95744.15,95744.15
POL0000231,PO000041,P0468,1,4558378.37,4558378.37
POL0000232,PO000042,P0082,1,116684.37,116684.37
POL0000233,PO000042,P0218,1,277521.72,277521.72
POL0000234,PO000042,P0127,1,15001207.68,15001207.68
POL0000235,PO000042,P0361,1,211824.36,211824.36
POL0000236,PO000043,P0190,39,31.9,1244.1
POL0000237,PO000043,P0247,1,268124.6,268124.6
POL0000238,PO000043,P0278,1,15161369.91,15161369.91
POL0000239,PO000043,P0110,1,790098.77,790098.77
POL0000240,PO000043,P0431,1,11328123.52,11328123.52
POL0000241,PO000043,P0347,1,309720.64,309720.64
POL0000242,PO000044,P0469,7,21.02,147.14
POL0000243,PO000044,P0167,39,24.83,968.37
POL0000244,PO000044,P0290,68,16.13,1096.84
POL0000245,PO000045,P0457,25,437.44,10936.0
POL0000246,PO000045,P0359,103,263.06,27095.18
POL0000247,PO000045,P0488,15,147.18,2207.7
POL0000248,PO000045,P0052,36,237.49,8549.64
POL0000249,PO000045,P0192,75,36.81,2760.75
POL0000250,PO000045,P0135,14,171.18,2396.52
POL0000251,PO000046,P0438,50,514.36,25718.0
POL0000252,PO000046,P0316,54,382.83,20672.82
POL0000253,PO000046,P0376,5,578.06,2890.3
POL0000254,PO000046,P0427,11,447.28,4920.08
POL0000255,PO000046,P0257,74,785.22,58106.28
POL0000256,PO000047,P0192,5,41.51,207.55
POL0000257,PO000047,P0481,54,21.5,1161.0
POL0000258,PO000047,P0029,83,14.89,1235.87
POL0000259,PO000047,P0469,5,21.02,105.1
POL0000260,PO000048,P0076,1,948734.25,948734.25
POL0000261,PO000048,P0391,1,237849.4,237849.4
POL0000262,PO000048,P0109,1,235252.2,235252.2
POL0000263,PO000049,P0381,13,216.39,2813.07
POL0000264,PO000049,P0441,56,49.17,2753.52
POL0000265,PO000049,P0320,1,50.65,50.65
POL0000266,PO000049,P0259,45,221.66,9974.7
POL0000267,PO000049,P0455,68,61.74,4198.32
POL0000268,PO000049,P0478,23,41.59,956.57
POL0000269,PO000049,P0400,18,100.44,1807.92
POL0000270,PO000050,P0498,79,829.06,65495.74
POL0000271,PO000050,P0058,88,473.54,41671.52
POL0000272,PO000050,P0486,42,1122.26,47134.92
POL0000273,PO000050,P0073,52,481.92,25059.84
POL0000274,PO000051,P0434,10,68.9,689.0
POL0000275,PO000051,P0460,1,557990.52,557990.52
POL0000276,PO000051,P0238,1,1448603.09,1448603.09
POL0000277,PO000051,P0310,1,299619.57,299619.57
POL0000278,PO000051,P0175,1,1043618.1,1043618.1
POL0000279,PO000051,P0025,1,6751520.96,6751520.96
POL0000280,PO000052,P0438,68,514.36,34976.48
POL0000281,PO000052,P0376,6,578.06,3468.36
POL0000282,PO000052,P0009,80,543.28,43462.4
POL0000283,PO000052,P0205,16,275.33,4405.28
POL0000284,PO000052,P0155,41,1128.29,46259.89
POL0000285,PO000052,P0219,14,249.21,3488.94
POL0000286,PO000053,P0019,1,148863.96,148863.96
POL0000287,PO000053,P0251,1,284820.02,284820.02
POL0000288,PO000053,P0181,39,21.38,833.82
POL0000289,PO000053,P0078,1,713152.81,713152.81
POL0000290,PO000053,P0092,1,1691613.39,1691613.39
POL0000291,PO000053,P0079,1,1147387.79,1147387.79
POL0000292,PO000053,P0405,1,17140121.62,17140121.62
POL0000293,PO000053,P0119,1,123412.4,123412.4
POL0000294,PO000054,P0348,1,92635.01,92635.01
POL0000295,PO000054,P0334,53,55.3,2930.9
POL0000296,PO000054,P0494,1,1444541.38,1444541.38
POL0000297,PO000054,P0420,1,230604.2,230604.2
POL0000298,PO000055,P0320,1,50.65,50.65
POL0000299,PO000055,P0455,52,61.74,3210.48
POL0000300,PO000055,P0154,29,50.37,1460.73
POL0000301,PO000055,P0381,44,216.39,9521.16
POL0000302,PO000056,P0162,1,15143656.5,15143656.5
POL0000303,PO000056,P0127,1,16132217.29,16132217.29
POL0000304,PO000056,P0314,29,45.2,1310.8
POL0000305,PO000057,P0218,1,277521.72,277521.72
POL0000306,PO000057,P0342,88,100.31,8827.28
POL0000307,PO000057,P0347,1,336529.58,336529.58
POL0000308,PO000058,P0221,40,14.72,588.8
POL0000309,PO000058,P0416,28,106.51,2982.28
POL0000310,PO000058,P0054,42,5.4,226.8
POL0000311,PO000058,P0383,13,25.83,335.79
POL0000312,PO000058,P0400,42,89.55,3761.1
POL0000313,PO000058,P0228,18,61.44,1105.92
POL0000314,PO000058,P0174,97,80.07,7766.79
POL0000315,PO000059,P0381,35,216.39,7573.65
POL0000316,PO000059,P0478,37,41.59,1538.83
POL0000317,PO000059,P0086,45,266.01,11970.45
POL0000318,PO000060,P0253,26,222.13,5775.38
POL0000319,PO000060,P0219,3,249.21,747.63
POL0000320,PO000060,P0378,108,23.84,2574.72
POL0000321,PO000060,P0433,38,776.17,29494.46
POL0000322,PO000061,P0086,45,266.01,11970.45
POL0000323,PO000061,P0478,88,41.59,3659.92
POL0000324,PO000061,P0381,30,216.39,6491.7
POL0000325,PO000061,P0436,25,15.81,395.25
POL0000326,PO000061,P0154,12,50.37,604.44
POL0000327,PO000061,P0320,1,50.65,50.65
POL0000328,PO000062,P0378,60,26.52,1591.2
POL0000329,PO000062,P0455,13,61.86,804.18
POL0000330,PO000062,P0202,75,68.38,5128.5
POL0000331,PO000062,P0388,8,28.25,226.0
POL0000332,PO000062,P0120,27,25.08,677.16
POL0000333,PO000062,P0154,44,52.13,2293.72
POL0000334,PO000062,P0326,35,55.97,1958.95
POL0000335,PO000062,P0345,61,15.99,975.39
POL0000336,PO000063,P0202,83,68.38,5675.54
POL0000337,PO000063,P0484,103,121.88,12553.64
POL0000338,PO000063,P0388,7,28.25,197.75
POL0000339,PO000064,P0400,46,89.55,4119.3
POL0000340,PO000064,P0472,46,96.78,4451.88
POL0000341,PO000064,P0228,30,61.44,1843.2
POL0000342,PO000065,P0388,6,28.25,169.5
POL0000343,PO000065,P0364,52,150.42,7821.84
POL0000344,PO000065,P0154,38,52.13,1980.94
POL0000345,PO000065,P0484,60,121.88,7312.8
POL0000346,PO000066,P0113,23,247.3,5687.9
POL0000347,PO000066,P0386,113,384.7,43471.1
POL0000348,PO000066,P0387,64,483.25,30928.0
POL0000349,PO000066,P0336,105,56.41,5923.05
POL0000350,PO000067,P0086,13,265.9,3456.7
POL0000351,PO000067,P0202,110,68.38,7521.8
POL0000352,PO000067,P0120,27,25.08,677.16
POL0000353,PO000067,P0455,8,61.86,494.88
POL0000354,PO000067,P0345,21,15.99,335.79
POL0000355,PO000067,P0326,31,55.97,1735.07
POL0000356,PO000067,P0364,35,150.42,5264.7
POL0000357,PO000067,P0154,71,52.13,3701.23
POL0000358,PO000068,P0425,10,50.19,501.9
POL0000359,PO000068,P0056,60,4.94,296.4
POL0000360,PO000068,P0264,58,18.96,1099.68
POL0000361,PO000069,P0220,1,7853699.02,7853699.02
POL0000362,PO000069,P0069,1,15691089.36,15691089.36
POL0000363,PO000069,P0251,1,305081.47,305081.47
POL0000364,PO000069,P0260,1,10552249.87,10552249.87
POL0000365,PO000069,P0044,1,202920.11,202920.11
POL0000366,PO000069,P0198,1,128916.03,128916.03
POL0000367,PO000069,P0169,1,150880.99,150880.99
POL0000368,PO000070,P0460,1,557990.52,557990.52
POL0000369,PO000070,P0391,1,237849.4,237849.4
POL0000370,PO000070,P0194,1,164096.35,164096.35
POL0000371,PO000070,P0119,1,123412.4,123412.4
POL0000372,PO000070,P0222,1,269000.7,269000.7
POL0000373,PO000070,P0365,1,13257784.06,13257784.06
POL0000374,PO000070,P0130,42,35.06,1472.52
POL0000375,PO000070,P0473,1,136303.54,136303.54
POL0000376,PO000071,P0117,47,17.83,838.01
POL0000377,PO000071,P0421,81,48.09,3895.29
POL0000378,PO000071,P0472,30,96.78,2903.4
POL0000379,PO000071,P0382,24,94.51,2268.24
POL0000380,PO000071,P0176,16,95.83,1533.28
POL0000381,PO000071,P0221,74,14.72,1089.28
POL0000382,PO000071,P0344,12,5.66,67.92
POL0000383,PO000071,P0379,3,16.01,48.03
POL0000384,PO000072,P0295,36,11.6,417.6
POL0000385,PO000072,P0312,104,50.16,5216.64
POL0000386,PO000072,P0434,59,76.55,4516.45
POL0000387,PO000073,P0328,71,29.32,2081.72
POL0000388,PO000073,P0230,99,39.94,3954.06
POL0000389,PO000073,P0171,22,8.73,192.06
POL0000390,PO000073,P0418,40,15.12,604.8
POL0000391,PO000074,P0259,45,221.66,9974.7
POL0000392,PO000074,P0478,26,41.59,1081.34
POL0000393,PO000074,P0154,17,50.37,856.29
POL0000394,PO000075,P0341,1,18683374.02,18683374.02
POL0000395,PO000075,P0320,46,51.11,2351.06
POL0000396,PO000075,P0340,1,156840.33,156840.33
POL0000397,PO000075,P0167,71,24.27,1723.17
POL0000398,PO000075,P0423,1,1182232.2,1182232.2
POL0000399,PO000075,P0168,1,765264.51,765264.51
POL0000400,PO000075,P0276,1,122752.86,122752.86
POL0000401,PO000076,P0282,64,396.39,25368.96
POL0000402,PO000076,P0325,15,291.99,4379.85
POL0000403,PO000076,P0256,14,789.44,11052.16
POL0000404,PO000076,P0155,36,1128.29,40618.44
POL0000405,PO000077,P0124,1,264915.01,264915.01
POL0000406,PO000077,P0078,1,697324.07,697324.07
POL0000407,PO000077,P0172,1,183970.29,183970.29
POL0000408,PO000077,P0160,1,312576.71,312576.71
POL0000409,PO000078,P0349,7,394.27,2759.89
POL0000410,PO000078,P0270,125,518.33,64791.25
POL0000411,PO000078,P0319,23,68.47,1574.81
POL0000412,PO000078,P0180,139,172.49,23976.11
POL0000413,PO000078,P0454,19,518.59,9853.21
POL0000414,PO000078,P0399,105,434.36,45607.8
POL0000415,PO000078,P0413,19,347.0,6593.0
POL0000416,PO000078,P0050,5,251.12,1255.6
POL0000417,PO000079,P0345,39,15.99,623.61
POL0000418,PO000079,P0086,14,265.9,3722.6
POL0000419,PO000079,P0388,9,28.25,254.25
POL0000420,PO000079,P0378,124,26.52,3288.48
POL0000421,PO000080,P0310,1,282029.61,282029.61
POL0000422,PO000080,P0471,1,184137.63,184137.63
POL0000423,PO000080,P0490,1,303361.7,303361.7
POL0000424,PO000080,P0091,1,180652.1,180652.1
POL0000425,PO000080,P0375,1,765353.58,765353.58
POL0000426,PO000081,P0112,6,640.28,3841.68
POL0000427,PO000081,P0486,22,1122.26,24689.72
POL0000428,PO000081,P0437,112,20.33,2276.96
POL0000429,PO000081,P0140,31,232.75,7215.25
POL0000430,PO000081,P0185,76,870.17,66132.92
POL0000431,PO000081,P0274,3,636.68,1910.04
POL0000432,PO000081,P0330,86,302.2,25989.2
POL0000433,PO000081,P0311,47,191.03,8978.41
POL0000434,PO000082,P0409,35,284.49,9957.15
POL0000435,PO000082,P0419,61,1373.67,83793.87
POL0000436,PO000082,P0411,25,366.93,9173.25
POL0000437,PO000082,P0102,29,248.0,7192.0
POL0000438,PO000083,P0364,72,150.42,10830.24
POL0000439,PO000083,P0154,36,52.13,1876.68
POL0000440,PO000083,P0120,25,25.08,627.0
POL0000441,PO000084,P0188,64,20.82,1332.48
POL0000442,PO000084,P0027,1,14.01,14.01
POL0000443,PO000084,P0402,13,7.59,98.67
POL0000444,PO000085,P0234,1,244883.64,244883.64
POL0000445,PO000085,P0317,89,250.36,22282.04
POL0000446,PO000085,P0008,1,1440988.83,1440988.83
POL0000447,PO000085,P0004,1,206391.17,206391.17
POL0000448,PO000085,P0341,1,18375992.32,18375992.32
POL0000449,PO000085,P0318,1,7988733.18,7988733.18
POL0000450,PO000085,P0172,1,213225.91,213225.91
POL0000451,PO000086,P0088,1,884116.1,884116.1
POL0000452,PO000086,P0439,1,193455.04,193455.04
POL0000453,PO000086,P0099,1,15200778.78,15200778.78
POL0000454,PO000086,P0492,1,92716.74,92716.74
POL0000455,PO000086,P0076,1,925559.17,925559.17
POL0000456,PO000087,P0436,20,15.81,316.2
POL0000457,PO000087,P0455,52,61.74,3210.48
POL0000458,PO000087,P0259,27,221.66,5984.82
POL0000459,PO000088,P0351,24,128.03,3072.72
POL0000460,PO000088,P0266,1,286.1,286.1
POL0000461,PO000088,P0067,77,383.3,29514.1
POL0000462,PO000089,P0076,1,1005324.05,1005324.05
POL0000463,PO000089,P0011,1,1423503.45,1423503.45
POL0000464,PO000089,P0243,1,253184.52,253184.52
POL0000465,PO000089,P0431,1,12353688.62,12353688.62
POL0000466,PO000089,P0347,1,336529.58,336529.58
POL0000467,PO000090,P0211,1,162084.06,162084.06
POL0000468,PO000090,P0169,1,131953.11,131953.11
POL0000469,PO000090,P0247,1,268124.6,268124.6
POL0000470,PO000090,P0124,1,293248.23,293248.23
POL0000471,PO000090,P0346,1,289683.11,289683.11
POL0000472,PO000090,P0072,1,4515489.92,4515489.92
POL0000473,PO000091,P0468,1,5093522.13,5093522.13
POL0000474,PO000091,P0320,77,51.11,3935.47
POL0000475,PO000091,P0268,1,97384.35,97384.35
POL0000476,PO000091,P0175,1,1043618.1,1043618.1
POL0000477,PO000091,P0431,1,11104599.76,11104599.76
POL0000478,PO000091,P0303,1,491270.84,491270.84
POL0000479,PO000091,P0069,1,16574921.51,16574921.51
POL0000480,PO000092,P0120,24,25.08,601.92
POL0000481,PO000092,P0345,15,15.99,239.85
POL0000482,PO000092,P0202,115,68.38,7863.7
POL0000483,PO000092,P0378,85,26.52,2254.2
POL0000484,PO000092,P0086,13,265.9,3456.7
POL0000485,PO000092,P0024,94,33.42,3141.48
POL0000486,PO000092,P0326,74,55.97,4141.78
POL0000487,PO000093,P0332,64,37.7,2412.8
POL0000488,PO000093,P0418,81,15.12,1224.72
POL0000489,PO000093,P0221,27,16.53,446.31
POL0000490,PO000093,P0287,54,11.88,641.52
POL0000491,PO000093,P0228,33,58.67,1936.11
POL0000492,PO000093,P0123,99,24.29,2404.71
POL0000493,PO000093,P0496,58,79.97,4638.26
POL0000494,PO000094,P0425,58,54.85,3181.3
POL0000495,PO000094,P0234,1,244883.64,244883.64
POL0000496,PO000094,P0082,1,117950.44,117950.44
POL0000497,PO000094,P0008,1,1440988.83,1440988.83
POL0000498,PO000094,P0404,1,114276.63,114276.63
POL0000499,PO000094,P0162,1,15143656.5,15143656.5
POL0000500,PO000094,P0172,1,213225.91,213225.91
POL0000501,PO000094,P0238,1,1418008.28,1418008.28
POL0000502,PO000095,P0268,1,98560.11,98560.11
POL0000503,PO000095,P0028,1,798430.22,798430.22
POL0000504,PO000095,P0347,1,336529.58,336529.58
POL0000505,PO000095,P0375,1,765353.58,765353.58
POL0000506,PO000095,P0278,1,16182712.54,16182712.54
POL0000507,PO000095,P0047,17,70.39,1196.63
POL0000508,PO000095,P0430,1,18504024.99,18504024.99
POL0000509,PO000096,P0314,59,45.2,2666.8
POL0000510,PO000096,P0238,1,1418008.28,1418008.28
POL0000511,PO000096,P0374,1,923366.05,923366.05
POL0000512,PO000096,P0191,46,51.19,2354.74
POL0000513,PO000096,P0347,1,325088.96,325088.96
POL0000514,PO000097,P0080,35,60.46,2116.1
POL0000515,PO000097,P0385,55,13.54,744.7
POL0000516,PO000097,P0497,17,76.95,1308.15
POL0000517,PO000097,P0239,116,100.23,11626.68
POL0000518,PO000098,P0431,1,11104599.76,11104599.76
POL0000519,PO000098,P0260,1,10851518.26,10851518.26
POL0000520,PO000098,P0268,1,97384.35,97384.35
POL0000521,PO000098,P0069,1,16574921.51,16574921.51
POL0000522,PO000098,P0232,1,170440.95,170440.95
POL0000523,PO000098,P0025,1,6751520.96,6751520.96
POL0000524,PO000098,P0341,1,18683374.02,18683374.02
POL0000525,PO000098,P0434,24,68.9,1653.6
POL0000526,PO000099,P0396,1,1199.73,1199.73
POL0000527,PO000099,P0313,69,250.54,17287.26
