Inventory_ID,Hospital_ID,Warehouse_ID,Product_ID,Current_Stock,Reorder_Level,Safety_Stock,Maximum_Stock,Inventory_Value,Stock_Status
INV000075,H001,WH001,P0459,7,118,68,590,113869025.48,Low Stock
INV000076,H001,WH001,P0331,791,109,42,545,8985.76,In Stock
INV000077,H001,WH001,P0198,9,190,17,950,1358054.46,Low Stock
INV000078,H001,WH001,P0465,81,146,57,730,646.38,Low Stock
INV000079,H001,WH001,P0460,7,110,18,550,4298078.96,Low Stock
INV000080,H001,WH001,P0392,887,118,17,590,6466.23,In Stock
INV000081,H001,WH001,P0433,103,172,85,860,83855.39,Low Stock
INV000082,H001,WH001,P0300,389,172,92,860,127619.23,In Stock
INV000083,H001,WH001,P0270,284,141,61,705,147265.36,In Stock
INV000084,H001,WH001,P0049,464,176,34,880,174561.44,In Stock
INV000085,H001,WH001,P0018,20,107,29,535,3158825.6,Low Stock
INV000086,H001,WH001,P0298,854,36,91,191,74579.82,In Stock
INV000087,H001,WH001,P0054,373,78,70,390,2316.33,In Stock
INV000088,H001,WH001,P0027,166,134,61,670,2478.38,In Stock
INV000089,H001,WH001,P0483,379,70,96,350,173009.71,In Stock
INV000090,H001,WH001,P0337,363,20,77,177,3898.62,In Stock
INV000091,H001,WH001,P0053,6,134,54,670,116086356.9,Low Stock
INV000092,H001,WH001,P0456,686,117,35,585,919226.28,In Stock
INV000093,H001,WH001,P0384,8,77,28,385,1513391.04,Low Stock
INV000094,H001,WH001,P0475,20,36,86,186,4820497.2,Low Stock
INV000095,H001,WH001,P0428,73,67,63,335,8358.5,In Stock
INV000096,H001,WH001,P0010,623,115,22,575,197484.77,In Stock
INV000097,H001,WH001,P0004,20,81,21,405,4323591.8,Low Stock
INV000098,H001,WH001,P0364,175,130,99,650,26456.5,In Stock
INV000099,H001,WH001,P0463,546,199,47,995,17220.84,In Stock
INV000100,H001,WH001,P0233,7,45,93,225,5605566.61,Low Stock
INV000101,H001,WH001,P0470,167,129,22,645,5961.9,In Stock
INV000102,H001,WH001,P0329,473,142,22,710,768653.38,In Stock
INV000103,H001,WH001,P0179,388,134,41,670,130589.16,In Stock
INV000104,H001,WH001,P0246,276,187,30,935,14009.76,In Stock
INV000105,H001,WH001,P0291,947,126,75,630,27425.12,In Stock
INV000106,H001,WH001,P0070,655,156,29,780,15294.25,In Stock
INV000107,H001,WH001,P0114,704,149,95,745,1031521.92,In Stock
INV000108,H001,WH001,P0335,17,108,70,540,25583872.05,Low Stock
INV000109,H001,WH001,P0034,224,136,97,680,4323.2,In Stock
INV000110,H001,WH001,P0271,701,130,56,650,607851.12,In Stock
INV000111,H001,WH001,P0242,332,22,51,151,14295.92,In Stock
INV000112,H001,WH001,P0255,863,153,31,765,410926.08,In Stock
INV000113,H001,WH001,P0444,786,144,87,720,77310.96,In Stock
INV000114,H001,WH001,P0243,1,67,89,335,276013.54,Low Stock
INV000115,H001,WH001,P0497,234,136,71,680,18551.52,In Stock
INV000116,H001,WH001,P0175,1,75,21,375,1187993.41,Low Stock
INV000117,H001,WH001,P0307,10,126,88,630,13418757.2,Low Stock
INV000118,H001,WH001,P0113,410,61,17,305,110683.6,In Stock
INV000119,H001,WH001,P0411,274,180,26,900,111430.32,In Stock
INV000120,H001,WH001,P0153,67,50,35,250,1089.42,In Stock
INV000121,H001,WH001,P0046,6,155,48,775,10130337.12,Low Stock
INV000122,H001,WH001,P0410,935,144,28,720,553304.95,In Stock
INV000123,H001,WH001,P0310,18,139,20,695,5655950.46,Low Stock
INV000124,H001,WH001,P0033,897,176,82,880,468521.04,In Stock
INV000125,H001,WH001,P0103,735,99,90,495,32362.05,In Stock
INV000126,H001,WH001,P0292,322,145,39,725,5934.46,In Stock
INV000127,H001,WH001,P0043,217,107,43,535,10170.79,In Stock
INV000128,H001,WH001,P0472,671,71,33,355,72132.5,In Stock
INV000129,H001,WH001,P0030,15,58,20,290,5104172.7,Low Stock
INV000130,H001,WH001,P0272,405,30,91,191,648923.4,In Stock
INV000131,H001,WH001,P0056,905,184,20,920,4561.2,In Stock
INV000132,H001,WH001,P0132,20,145,43,725,27697268.6,Low Stock
INV000133,H001,WH001,P0133,469,148,78,740,247852.43,In Stock
INV000134,H001,WH001,P0208,146,70,57,350,123991.96,In Stock
INV000135,H001,WH001,P0040,271,58,91,290,453743.43,In Stock
INV000136,H001,WH001,P0206,142,163,36,815,1604.6,Low Stock
INV000137,H001,WH001,P0213,252,175,53,875,14011.2,In Stock
INV000138,H001,WH001,P0267,762,134,74,670,34701.48,In Stock
INV000139,H001,WH001,P0314,574,195,76,975,29274.0,In Stock
INV000140,H001,WH001,P0500,551,130,43,650,132642.23,In Stock
INV000141,H001,WH001,P0345,269,97,43,485,4476.16,In Stock
INV000142,H001,WH001,P0290,764,20,14,114,12774.08,In Stock
INV000143,H001,WH001,P0166,598,50,31,250,22753.9,In Stock
INV000144,H001,WH001,P0128,13,194,98,970,220603601.53,Low Stock
INV000145,H001,WH001,P0098,919,86,20,430,105749.33,In Stock
INV000146,H001,WH001,P0398,597,191,80,955,385769.46,In Stock
INV000147,H001,WH001,P0073,408,162,17,810,227570.16,In Stock
INV000148,H001,WH001,P0288,11,177,16,885,1310188.44,Low Stock
INV000149,H001,WH001,P0023,224,92,59,460,20556.48,In Stock
INV000150,H001,WH001,P0372,141,145,23,725,2350.47,Low Stock
INV000151,H001,WH001,P0480,521,161,13,805,60066.09,In Stock
INV000152,H001,WH001,P0493,505,66,67,330,4201.6,In Stock
INV000153,H001,WH001,P0102,93,48,30,240,25861.44,In Stock
INV000154,H001,WH001,P0105,1,89,54,445,1373804.36,Low Stock
INV000155,H001,WH001,P0063,881,25,11,125,534441.03,In Stock
INV000156,H001,WH001,P0452,112,102,43,510,39543.84,In Stock
INV000157,H001,WH001,P0374,4,167,68,835,3810678.96,Low Stock
INV000158,H001,WH001,P0140,642,144,44,720,165700.2,In Stock
INV000159,H001,WH001,P0353,5,198,40,990,946295.8,Low Stock
INV000160,H001,WH001,P0044,13,61,76,305,2871770.33,Low Stock
INV000161,H001,WH001,P0413,610,92,65,460,235758.9,In Stock
INV000162,H001,WH001,P0409,65,194,52,970,20168.2,Low Stock
INV000163,H001,WH001,P0396,394,67,67,335,543125.06,In Stock
INV000164,H001,WH001,P0263,390,30,81,181,99024.9,In Stock
INV000165,H001,WH001,P0251,19,128,24,640,6220125.57,Low Stock
INV000166,H001,WH001,P0415,479,105,74,525,8344.18,In Stock
INV000167,H001,WH001,P0302,541,31,17,155,16181.31,In Stock
INV000168,H001,WH001,P0230,257,82,40,410,11914.52,In Stock
INV000169,H001,WH001,P0136,994,146,58,730,64003.66,In Stock
INV000170,H001,WH001,P0129,566,30,27,150,16951.7,In Stock
INV000171,H001,WH001,P0265,881,160,90,800,1048249.04,In Stock
INV000172,H001,WH001,P0161,965,125,67,625,60959.05,In Stock
INV000173,H001,WH001,P0163,0,160,26,800,0.0,Out of Stock
INV000174,H001,WH001,P0412,696,107,70,535,4468.32,In Stock
INV000175,H001,WH001,P0402,738,162,17,810,5749.02,In Stock
INV000176,H001,WH001,P0365,3,185,63,925,41434207.77,Low Stock
INV000177,H001,WH001,P0482,698,34,22,170,147745.66,In Stock
INV000178,H001,WH001,P0112,906,38,90,190,650951.94,In Stock
INV000179,H001,WH001,P0440,549,41,47,205,9118.89,In Stock
INV000180,H001,WH001,P0306,8,175,92,875,1327113.6,Low Stock
INV000181,H001,WH001,P0076,20,27,18,135,21756574.0,Low Stock
INV000182,H001,WH001,P0211,10,180,61,900,1770430.0,Low Stock
INV000183,H001,WH001,P0068,114,137,94,685,868.68,Low Stock
INV000184,H001,WH001,P0346,9,148,31,740,2945516.49,Low Stock
INV000185,H001,WH001,P0481,445,151,100,755,10404.1,In Stock
INV000186,H001,WH001,P0142,161,138,69,690,15570.31,In Stock
INV000187,H001,WH001,P0064,464,154,27,770,272321.6,In Stock
INV000188,H001,WH001,P0431,0,50,63,250,0.0,Out of Stock
INV000189,H001,WH001,P0097,976,128,19,640,682995.04,In Stock
INV000190,H001,WH001,P0439,8,67,16,335,1637638.08,Low Stock
INV000191,H001,WH001,P0317,995,119,52,595,277346.3,In Stock
INV000192,H001,WH001,P0423,16,177,28,885,20724194.08,Low Stock
INV000193,H001,WH001,P0406,780,190,47,950,8899.8,In Stock
INV000194,H001,WH001,P0296,5,113,89,565,35029503.25,Low Stock
INV000195,H001,WH001,P0259,519,183,38,915,132936.66,In Stock
INV000196,H001,WH001,P0369,934,84,64,420,213101.44,In Stock
INV000197,H001,WH001,P0055,108,179,88,895,4348.08,Low Stock
INV000198,H001,WH001,P0087,891,200,65,1000,61577.01,In Stock
INV000199,H001,WH001,P0057,640,71,71,355,11654.4,In Stock
INV000200,H001,WH001,P0094,305,193,43,965,30640.3,In Stock
INV000201,H001,WH001,P0139,861,179,82,895,7585.41,In Stock
INV000202,H001,WH001,P0499,654,50,42,250,35054.4,In Stock
INV000203,H001,WH001,P0174,519,52,97,260,44602.86,In Stock
INV000204,H001,WH001,P0326,623,71,78,355,38420.41,In Stock
INV000205,H001,WH001,P0473,6,33,14,165,835445.82,Low Stock
INV000206,H001,WH001,P0416,156,72,93,360,17135.04,In Stock
INV000207,H001,WH001,P0301,11,152,73,760,128219449.27,Low Stock
INV000208,H001,WH001,P0072,5,58,32,290,25294936.15,Low Stock
INV000209,H001,WH001,P0088,17,127,35,635,17424195.56,Low Stock
INV000210,H001,WH001,P0280,976,73,85,365,78255.68,In Stock
INV000211,H001,WH001,P0322,16,164,31,820,220479751.36,Low Stock
INV000212,H001,WH001,P0126,940,154,74,770,40326.0,In Stock
INV000213,H001,WH001,P0464,0,123,76,615,0.0,Out of Stock
INV000214,H001,WH001,P0104,613,94,67,470,50566.37,In Stock
INV000215,H001,WH001,P0223,331,161,79,805,479801.05,In Stock
INV000216,H001,WH001,P0037,500,61,24,305,892335.0,In Stock
INV000217,H001,WH001,P0447,19,142,59,710,12526.89,Low Stock
INV000218,H001,WH001,P0228,114,95,47,475,7396.32,In Stock
INV000219,H001,WH001,P0393,951,55,77,275,1548132.9,In Stock
INV000220,H001,WH001,P0466,371,40,29,200,2641.52,In Stock
INV000221,H001,WH001,P0421,899,68,70,340,43763.32,In Stock
INV000222,H001,WH001,P0338,851,21,54,154,31742.3,In Stock
INV000223,H001,WH001,P0086,826,144,30,720,237995.38,In Stock
INV000224,H001,WH001,P0062,314,188,54,940,5312.88,In Stock
INV000225,H001,WH001,P0207,7,99,65,495,1414173.04,Low Stock
INV000226,H001,WH001,P0276,1,62,97,310,128939.87,Low Stock
INV000227,H001,WH001,P0266,246,98,84,490,70798.8,In Stock
INV000228,H001,WH001,P0181,899,41,80,205,19849.92,In Stock
INV000229,H001,WH001,P0014,18,83,33,415,2546442.0,Low Stock
INV000230,H001,WH001,P0467,969,91,76,455,13527.24,In Stock
INV000231,H001,WH001,P0414,80,94,47,470,907.2,Low Stock
INV000232,H001,WH001,P0264,87,190,51,950,1753.05,Low Stock
INV000233,H001,WH001,P0437,749,75,25,375,17159.59,In Stock
INV000234,H001,WH001,P0124,15,146,29,730,4436874.15,Low Stock
INV000235,H001,WH001,P0283,835,63,43,315,78798.95,In Stock
INV000236,H001,WH001,P0130,70,116,67,580,2691.5,Low Stock
INV000237,H001,WH001,P0391,17,41,94,205,4477352.9,Low Stock
INV000238,H001,WH001,P0226,4,134,32,670,992133.84,Low Stock
INV000239,H001,WH001,P0358,131,58,28,290,2830.91,In Stock
INV000240,H001,WH001,P0009,675,163,97,815,405978.75,In Stock
INV000241,H001,WH001,P0058,486,42,60,210,258576.3,In Stock
INV000242,H001,WH001,P0193,969,112,97,560,627824.79,In Stock
INV000243,H001,WH001,P0443,562,119,49,595,172736.32,In Stock
INV000244,H001,WH001,P0204,169,104,66,520,10503.35,In Stock
INV000245,H001,WH001,P0026,271,121,60,605,75701.14,In Stock
INV000246,H001,WH001,P0253,540,184,60,920,140205.6,In Stock
INV000247,H001,WH001,P0199,19,120,16,600,136719170.39,Low Stock
INV000248,H001,WH001,P0168,13,105,67,525,10218426.79,Low Stock
INV000249,H001,WH001,P0196,987,95,23,475,47287.17,In Stock
INV000250,H001,WH001,P0217,216,118,42,590,275441.04,In Stock
INV000251,H002,WH002,P0347,6,181,39,905,2075725.68,Low Stock
INV000252,H002,WH002,P0459,9,118,68,590,146403032.76,Low Stock
INV000253,H002,WH002,P0206,408,163,36,815,4610.4,In Stock
INV000254,H002,WH002,P0065,20,69,37,345,6938127.4,Low Stock
INV000255,H002,WH002,P0097,382,128,19,640,267319.78,In Stock
INV000256,H002,WH002,P0300,448,172,92,860,146975.36,In Stock
INV000257,H002,WH002,P0234,16,46,10,230,3975399.36,Low Stock
INV000258,H002,WH002,P0431,14,50,63,250,179652345.46,Low Stock
INV000259,H002,WH002,P0407,123,127,96,635,1761.36,Low Stock
INV000260,H002,WH002,P0312,253,51,52,255,14820.74,In Stock
INV000261,H002,WH002,P0415,230,105,74,525,4006.6,In Stock
INV000262,H002,WH002,P0243,2,67,89,335,552027.08,Low Stock
INV000263,H002,WH002,P0400,346,132,95,660,35734.88,In Stock
INV000264,H002,WH002,P0086,21,144,30,720,6050.73,Low Stock
INV000265,H002,WH002,P0171,602,25,62,162,5345.76,In Stock
INV000266,H002,WH002,P0363,567,85,87,425,43693.02,In Stock
INV000267,H002,WH002,P0408,235,182,92,910,230422.2,In Stock
INV000268,H002,WH002,P0078,18,90,67,450,13666035.06,Low Stock
INV000269,H002,WH002,P0148,7,150,45,750,121122786.12,Low Stock
INV000270,H002,WH002,P0340,0,151,43,755,0.0,Out of Stock
INV000271,H002,WH002,P0254,72,149,31,745,98845.92,Low Stock
INV000272,H002,WH002,P0003,724,29,21,145,546511.4,In Stock
INV000273,H002,WH002,P0090,20,200,12,1000,21925440.0,Low Stock
INV000274,H002,WH002,P0252,60,137,30,685,408.6,Low Stock
INV000275,H002,WH002,P0051,7,27,13,135,7984314.8,Low Stock
INV000276,H002,WH002,P0435,69,74,29,370,60921.48,Low Stock
INV000277,H002,WH002,P0208,927,70,57,350,787264.02,In Stock
INV000278,H002,WH002,P0465,32,146,57,730,255.36,Low Stock
INV000279,H002,WH002,P0068,880,137,94,685,6705.6,In Stock
INV000280,H002,WH002,P0138,338,173,28,865,19191.64,In Stock
INV000281,H002,WH002,P0285,72,84,78,420,1012.32,Low Stock
INV000282,H002,WH002,P0370,16,179,62,895,2518128.96,Low Stock
INV000283,H002,WH002,P0020,243,107,98,535,97474.59,In Stock
INV000284,H002,WH002,P0481,285,151,100,755,6663.3,In Stock
INV000285,H002,WH002,P0009,685,163,97,815,411993.25,In Stock
INV000286,H002,WH002,P0213,497,175,53,875,27633.2,In Stock
INV000287,H002,WH002,P0092,6,48,39,240,10494042.78,Low Stock
INV000288,H002,WH002,P0039,552,177,13,885,330537.6,In Stock
INV000289,H002,WH002,P0135,135,80,36,400,24772.5,In Stock
INV000290,H002,WH002,P0425,740,45,94,225,41573.2,In Stock
INV000291,H002,WH002,P0471,18,175,26,875,3787781.76,Low Stock
INV000292,H002,WH002,P0267,590,134,74,670,26868.6,In Stock
INV000293,H002,WH002,P0095,15,151,83,755,2315319.45,Low Stock
INV000294,H002,WH002,P0378,248,177,55,885,6683.6,In Stock
INV000295,H002,WH002,P0015,803,167,48,835,196702.88,In Stock
INV000296,H002,WH002,P0454,484,90,80,450,266577.52,In Stock
INV000297,H002,WH002,P0161,826,125,67,625,52178.42,In Stock
INV000298,H002,WH002,P0443,416,119,49,595,127861.76,In Stock
INV000299,H002,WH002,P0017,194,50,75,250,17211.68,In Stock
INV000300,H002,WH002,P0428,96,67,63,335,10992.0,In Stock
INV000301,H002,WH002,P0369,99,84,64,420,22587.84,In Stock
INV000302,H002,WH002,P0048,674,156,79,780,324328.8,In Stock
INV000303,H002,WH002,P0079,13,142,74,710,15512523.91,Low Stock
INV000304,H002,WH002,P0205,362,91,20,455,116136.84,In Stock
INV000305,H002,WH002,P0372,433,145,23,725,7218.11,In Stock
INV000306,H002,WH002,P0195,420,99,34,495,422192.4,In Stock
INV000307,H002,WH002,P0402,478,162,17,810,3723.62,In Stock
INV000308,H002,WH002,P0277,884,36,54,180,419449.16,In Stock
INV000309,H002,WH002,P0231,746,103,18,515,322928.48,In Stock
INV000310,H002,WH002,P0260,1,70,70,350,11067268.28,Low Stock
INV000311,H002,WH002,P0221,689,151,35,755,11547.64,In Stock
INV000312,H002,WH002,P0191,669,85,39,425,38179.83,In Stock
INV000313,H002,WH002,P0261,661,122,76,610,408187.33,In Stock
INV000314,H002,WH002,P0119,3,91,74,455,417884.49,Low Stock
INV000315,H002,WH002,P0052,62,69,98,345,17095.88,Low Stock
INV000316,H002,WH002,P0371,12,66,93,330,16533822.12,Low Stock
INV000317,H002,WH002,P0139,745,179,82,895,6563.45,In Stock
INV000318,H002,WH002,P0209,10,69,51,345,16953583.4,Low Stock
INV000319,H002,WH002,P0416,819,72,93,360,89958.96,In Stock
INV000320,H002,WH002,P0240,3,109,37,545,46936774.62,Low Stock
INV000321,H002,WH002,P0006,254,167,84,835,14691.36,In Stock
INV000322,H002,WH002,P0333,6,93,89,465,6713445.66,Low Stock
INV000323,H002,WH002,P0342,194,48,91,240,20928.72,In Stock
INV000324,H002,WH002,P0373,549,61,35,305,233659.89,In Stock
INV000325,H002,WH002,P0147,459,112,26,560,432258.66,In Stock
INV000326,H002,WH002,P0083,4,191,48,955,547271.12,Low Stock
INV000327,H002,WH002,P0283,432,63,43,315,40767.84,In Stock
INV000328,H002,WH002,P0432,5,123,67,615,77178410.6,Low Stock
INV000329,H002,WH002,P0286,285,87,58,435,20143.8,In Stock
INV000330,H002,WH002,P0268,14,20,89,189,1545458.18,Low Stock
INV000331,H002,WH002,P0056,255,184,20,920,1285.2,In Stock
INV000332,H002,WH002,P0239,895,47,91,235,91290.0,In Stock
INV000333,H002,WH002,P0476,945,200,21,1000,38584.35,In Stock
INV000334,H002,WH002,P0354,2,97,100,485,1498091.86,Low Stock
INV000335,H002,WH002,P0190,453,69,73,345,15845.94,In Stock
INV000336,H002,WH002,P0110,17,75,39,375,15302005.32,Low Stock
INV000337,H002,WH002,P0280,100,73,85,365,8018.0,In Stock
INV000338,H002,WH002,P0456,51,117,35,585,68338.98,Low Stock
INV000339,H002,WH002,P0288,20,177,16,885,2382160.8,Low Stock
INV000340,H002,WH002,P0211,17,180,61,900,3009731.0,Low Stock
INV000341,H002,WH002,P0047,856,152,56,760,60878.72,In Stock
INV000342,H002,WH002,P0098,15,86,20,430,1726.05,Low Stock
INV000343,H002,WH002,P0299,992,122,43,610,809809.28,In Stock
INV000344,H002,WH002,P0128,2,194,98,970,33939015.62,Low Stock
INV000345,H002,WH002,P0309,948,157,10,785,755584.44,In Stock
INV000346,H002,WH002,P0437,771,75,25,375,17663.61,In Stock
INV000347,H002,WH002,P0237,869,39,57,195,343072.51,In Stock
INV000348,H002,WH002,P0293,7,25,16,125,103576384.73,Low Stock
INV000349,H002,WH002,P0480,170,161,13,805,19599.3,In Stock
INV000350,H002,WH002,P0032,416,92,10,460,6980.48,In Stock
INV000351,H002,WH002,P0016,15,107,67,535,17154769.05,Low Stock
INV000352,H002,WH002,P0470,492,129,22,645,17564.4,In Stock
INV000353,H002,WH002,P0165,218,123,93,615,21608.16,In Stock
INV000354,H002,WH002,P0461,885,153,51,765,38842.65,In Stock
INV000355,H002,WH002,P0005,12,164,25,820,12622499.4,Low Stock
INV000356,H002,WH002,P0222,1,83,62,415,293163.7,Low Stock
INV000357,H002,WH002,P0042,168,142,71,710,277021.92,In Stock
INV000358,H002,WH002,P0063,388,25,11,125,235372.44,In Stock
INV000359,H002,WH002,P0422,0,35,74,175,0.0,Out of Stock
INV000360,H002,WH002,P0106,399,29,11,145,63109.83,In Stock
INV000361,H002,WH002,P0405,8,21,30,130,143545323.36,Low Stock
INV000362,H002,WH002,P0311,948,77,23,385,202758.24,In Stock
INV000363,H002,WH002,P0385,802,139,47,695,12021.98,In Stock
INV000364,H002,WH002,P0427,803,99,81,495,388997.29,In Stock
INV000365,H002,WH002,P0355,465,59,41,295,10169.55,In Stock
INV000366,H002,WH002,P0214,292,87,98,435,2651.36,In Stock
INV000367,H002,WH002,P0276,13,62,97,310,1676218.31,Low Stock
INV000368,H002,WH002,P0485,17,85,59,425,2296124.21,Low Stock
INV000369,H002,WH002,P0436,677,22,97,197,10838.77,In Stock
INV000370,H002,WH002,P0155,735,112,64,560,876781.5,In Stock
INV000371,H002,WH002,P0282,498,61,91,305,198936.06,In Stock
INV000372,H002,WH002,P0500,158,130,43,650,38035.34,In Stock
INV000373,H002,WH002,P0185,194,119,43,595,168847.9,In Stock
INV000374,H002,WH002,P0258,303,42,89,210,182957.46,In Stock
INV000375,H002,WH002,P0475,6,36,86,186,1446149.16,Low Stock
INV000376,H002,WH002,P0013,1,139,84,695,298762.62,Low Stock
INV000377,H002,WH002,P0315,593,41,74,205,37744.45,In Stock
INV000378,H002,WH002,P0366,753,193,33,965,7206.21,In Stock
INV000379,H002,WH002,P0163,17,160,26,800,1501543.19,Low Stock
INV000380,H002,WH002,P0026,62,121,60,605,17319.08,Low Stock
INV000381,H002,WH002,P0323,765,47,89,235,207613.35,In Stock
INV000382,H002,WH002,P0391,10,41,94,205,2633737.0,Low Stock
INV000383,H002,WH002,P0310,1,139,20,695,314219.47,Low Stock
INV000384,H002,WH002,P0322,1,164,31,820,13779984.46,Low Stock
INV000385,H002,WH002,P0096,18,42,45,210,3583277.46,Low Stock
INV000386,H002,WH002,P0474,15,200,68,1000,14707849.35,Low Stock
INV000387,H002,WH002,P0019,16,191,19,955,2427019.52,Low Stock
INV000388,H002,WH002,P0189,16,125,100,625,13138814.4,Low Stock
INV000389,H002,WH002,P0201,161,135,50,675,10469.83,In Stock
INV000390,H002,WH002,P0496,58,105,31,525,4969.44,Low Stock
INV000391,H002,WH002,P0146,983,39,84,195,69743.85,In Stock
INV000392,H002,WH002,P0100,520,106,80,530,3863.6,In Stock
INV000393,H002,WH002,P0334,82,27,65,165,4735.5,In Stock
INV000394,H002,WH002,P0055,871,179,88,895,35066.46,In Stock
INV000395,H002,WH002,P0256,190,70,48,350,172670.1,In Stock
INV000396,H002,WH002,P0349,70,109,84,545,29568.7,Low Stock
INV000397,H002,WH002,P0028,19,55,65,275,16362626.53,Low Stock
INV000398,H002,WH002,P0224,69,46,19,230,511.29,In Stock
INV000399,H002,WH002,P0113,691,61,17,305,186542.36,In Stock
